"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","pValuesBatch","qValuesBatch","SYMBOL"
"214419_s_at",0.0343487582063728,3.46473993917776,0.426364000919292,0.683381298972758,0.972435608907828,-5.25485397864514,0.955764476002113,0.99775105550762,"CYP2C9"
"204268_at",0.0318226596797757,13.2159243869837,0.426294677467968,0.683429342094366,0.972435608907828,-5.25487938382144,0.452010306580286,0.973547434993237,"S100A2"
"217085_at",-0.032453042282464,2.51280109858226,-0.426162158311408,0.683521186062488,0.972435608907828,-5.25492793778221,0.728668306466521,0.989097862731421,"NA"
"206666_at",0.0410664316580163,3.40286014292742,0.426115157112002,0.683553762195712,0.972435608907828,-5.25494515525889,0.356628119455733,0.973547434993237,"GZMK"
"AFFX-r2-Bs-phe-M_at",0.100643743489653,5.78941261171519,0.426048253378759,0.683600133867505,0.972435608907828,-5.25496966037107,0.453425894326831,0.973547434993237,"NA"
"202238_s_at",-0.0385594003128258,9.23002791466509,-0.426028944942511,0.683613517020449,0.972435608907828,-5.25497673188501,0.345090742854957,0.973547434993237,"NNMT"
"204643_s_at",-0.0422500615029211,7.09750642990029,-0.42594931425916,0.683668712312651,0.972435608907828,-5.25500589263122,0.764168885748541,0.991955779400863,"ENOX2"
"202865_at",0.0325195318383145,3.96487220367664,0.425735319446616,0.683817051285956,0.972435608907828,-5.25508423227517,0.901955953586261,0.99775105550762,"DNAJB12"
"200768_s_at",0.0328906586100928,10.1986040611895,0.425697752354208,0.683843093965639,0.972435608907828,-5.25509798111584,0.51041860081812,0.976715357496713,"MAT2A"
"219061_s_at",0.0315168005696247,8.08226893466707,0.425648434033338,0.68387728367176,0.972435608907828,-5.2551160289617,0.270298887832013,0.973547434993237,"LAGE3"
"206522_at",-0.056482927978005,2.83574700029626,-0.425600277282299,0.683910668900843,0.972435608907828,-5.25513364985062,0.176686058427405,0.973547434993237,"MGAM"
"221990_at",0.0571677538606554,4.44183448821281,0.425516945040909,0.683968441760072,0.972435608907828,-5.25516413729497,0.372535330825035,0.973547434993237,"PAX8"
"220343_at",0.0355639422784715,3.80051605201879,0.425315065405155,0.684108411075924,0.972435608907828,-5.25523797266886,0.59206046298394,0.981225801016048,"PDE7B"
"214584_x_at",0.0375106982494549,3.34509354102401,0.425131035975165,0.684236016033831,0.972435608907828,-5.25530525099234,0.97678785501367,0.998084072545849,"ACACB"
"208565_at",0.0519579775096233,3.74203689244245,0.425078321804353,0.684272569800999,0.972435608907828,-5.25532451746814,0.77360707936671,0.993022298175968,"MC5R"
"212025_s_at",-0.0381942909653175,6.62380939296941,-0.424892496259747,0.684401434762527,0.972435608907828,-5.25539241694743,0.840280744818154,0.99775105550762,"FLII"
"208728_s_at",0.0351445913621227,9.99477650816733,0.424856092982138,0.684426680781378,0.972435608907828,-5.25540571522518,0.823573556796532,0.996728475082405,"CDC42"
"209853_s_at",-0.0353646335192153,9.78139688972595,-0.424778422524553,0.684480547444361,0.972435608907828,-5.2554340850263,0.329847161732937,0.973547434993237,"PSME3"
"213134_x_at",-0.0327934743011262,10.1586297055806,-0.42475283899677,0.684498290781824,0.972435608907828,-5.25544342856812,0.461357833528482,0.973547434993237,"BTG3"
"210574_s_at",-0.0313740139040686,10.4320381976051,-0.424682988736408,0.684546736207439,0.972435608907828,-5.25546893639957,0.336251406988187,0.973547434993237,"NUDC"
"222270_at",0.0361654370327269,5.34304523381079,0.424566765667682,0.684627347579784,0.972435608907828,-5.25551136990719,0.601705084451819,0.981225801016048,"PPP4R3B"
"219456_s_at",-0.0335047907262509,3.41797082516862,-0.424542577570306,0.684644124807276,0.972435608907828,-5.25552019971382,0.737470836915767,0.989763022682064,"RIN3"
