"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","qValuesBatch","pValuesBatch","SYMBOL"
"221737_at",-0.054123204286447,7.44206181178844,-0.752795370823938,0.47686218929482,0.759871301158451,-6.30298883699238,NA,NA,"GNA12"
"217741_s_at",-0.0865979349472141,9.74040331591996,-0.752785865461074,0.476867539503945,0.759871301158451,-6.30299626820633,NA,NA,"ZFAND5"
"222127_s_at",-0.0575971104203177,9.32893795050267,-0.752765392649969,0.476879063012421,0.759871301158451,-6.30301227341183,NA,NA,"EXOC1"
"219571_s_at",0.0827542519936708,7.063490861017,0.752739412272705,0.476893686829299,0.759871301158451,-6.3030325837864,NA,NA,"ZNF12"
"218474_s_at",-0.0622408421097465,8.57463311156097,-0.752565853806337,0.476991387068454,0.759972616916317,-6.30316824939204,NA,NA,"KCTD5"
"214833_at",0.0639915763756429,5.56642475192652,0.75239856691186,0.477085569679523,0.760066959426293,-6.30329898773131,NA,NA,"TMEM63A"
"217915_s_at",0.0583273058355527,11.343620713135,0.75228199817405,0.477151205363479,0.760066959426293,-6.30339007424361,NA,NA,"RSL24D1"
"206180_x_at",-0.0546160625296146,8.2374269826483,-0.752278887064462,0.47715295720145,0.760066959426293,-6.30339250509363,NA,NA,"ZNF747"
"204845_s_at",0.0547662501625292,3.05188066589303,0.752198799594092,0.477198055233964,0.760084447050409,-6.30345507812312,NA,NA,"ENPEP"
"210784_x_at",0.0773452544653761,6.36397014791277,0.752078217313149,0.477265961715003,0.760097673810202,-6.30354927950098,NA,NA,"NA"
"215353_at",0.0809676794390253,5.71140002950288,0.752062879280904,0.477274599867895,0.760097673810202,-6.30356126097686,NA,NA,"NA"
"217310_s_at",-0.0735900950226824,5.79388863059618,-0.751989954396225,0.477315671527926,0.760108743629108,-6.30361822424955,NA,NA,"FOXJ3"
"202487_s_at",0.0883498407744803,11.4561471107759,0.751861235641071,0.477388172396309,0.760169858218197,-6.30371875800635,NA,NA,"H2AZ2"
"216837_at",-0.0693063861950645,4.62572560292591,-0.751755187344677,0.477447909707227,0.760210641451498,-6.30380157445433,NA,NA,"EPHA5"
"201599_at",-0.0654107941744897,11.4003408921843,-0.751587017493612,0.477542650610805,0.760270367561343,-6.30393288337803,NA,NA,"OAT"
"214444_s_at",0.0969961661114853,7.50086180457887,0.75156744729932,0.477553676585082,0.760270367561343,-6.3039481623979,NA,NA,"PVR"
"222342_at",0.0544956266650409,2.94153395964247,0.75150229995226,0.477590382260224,0.760272785970666,-6.3039990224088,NA,NA,"NA"
"220384_at",0.0683444170412337,3.87941322408557,0.751443608808939,0.477623451975556,0.760272785970666,-6.30404483892923,NA,NA,"NME8"
"208075_s_at",-0.0623422978986721,4.82177850321803,-0.751172187121667,0.477776405498306,0.760435982997664,-6.30425668168187,NA,NA,"CCL7"
"220234_at",0.0746415645917811,4.14994284930497,0.751098742241866,0.477817799370343,0.760435982997664,-6.30431399380551,NA,NA,"CA8"
"220755_s_at",0.0808419132738312,10.8820262519707,0.751065326323109,0.477836633536482,0.760435982997664,-6.30434006808533,NA,NA,"SNHG32"
"200832_s_at",-0.0552852227751011,12.5323014711884,-0.751019402093059,0.477862518561041,0.760435982997664,-6.30437590094329,NA,NA,"SCD"
"213253_at",0.0574231048776594,7.62836478449253,0.750916851696701,0.477920324131271,0.76045354885477,-6.30445591028381,NA,NA,"SMC2"
"202505_at",0.0576867439315887,11.5944839285212,0.750878701935483,0.477941829578293,0.76045354885477,-6.30448567219709,NA,NA,"SNRPB2"
"220171_x_at",-0.0737153268882853,7.96575232572288,-0.750622124873177,0.478086481891136,0.760629378452281,-6.30468580345981,NA,NA,"GPALPP1"
"217328_at",-0.0953858651761599,3.361155184271,-0.750513660899365,0.478147640289249,0.760672354689966,-6.30477038849253,NA,NA,"NA"
