"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","qValuesBatch","pValuesBatch","SYMBOL"
"209723_at",0.219571078911004,8.85974134336356,2.55831807443532,0.0275823196765796,0.553125537194185,-3.35532318160698,NA,NA,"SERPINB9"
"220894_x_at",0.237055414410158,5.44217465089588,2.55806219125287,0.0275946403674576,0.553125537194185,-3.35570982012559,NA,NA,"PRDM12"
"203478_at",0.406206412759815,11.3671502910529,2.5580057418975,0.027597359116857,0.553125537194185,-3.35579511418638,NA,NA,"NDUFC1"
"217403_s_at",-0.262117599506329,6.71083142046688,-2.55796883073572,0.0275991369984842,0.553125537194185,-3.3558508862163,NA,NA,"ZNF227"
"204972_at",0.215245800653356,5.60026872319781,2.55729728999898,0.027631502520244,0.553125537194185,-3.35686555194187,NA,NA,"OAS2"
"213964_x_at",-0.267360622871948,3.76979348463676,-2.55722278742955,0.0276350955485215,0.553125537194185,-3.35697811952223,NA,NA,"C10orf95-AS1"
"215213_at",0.236243396672291,2.92734856846499,2.55704333174972,0.0276437520342823,0.553125537194185,-3.35724926126032,NA,NA,"NUP54"
"212624_s_at",-0.214566220706981,8.86042698509399,-2.5570281943492,0.0276444823464261,0.553125537194185,-3.35727213242267,NA,NA,"CHN1"
"208228_s_at",-0.227939603748289,6.52294412850275,-2.55670662210061,0.0276600012763982,0.553125537194185,-3.35775799296557,NA,NA,"FGFR2"
"204542_at",-0.215783323806948,8.00985845980757,-2.55583472302459,0.0277021220175147,0.553222572221324,-3.35907529560973,NA,NA,"ST6GALNAC2"
"207862_at",0.260404103779864,4.62335676265736,2.55557830766812,0.0277145212819948,0.553222572221324,-3.35946268737159,NA,NA,"UPK2"
"213629_x_at",0.437247313237298,10.7747450596184,2.55439927227489,0.0277716054693624,0.553865761003569,-3.36124390347102,NA,NA,"MT1F"
"215780_s_at",-0.257328883845613,11.7242366705575,-2.55333223910205,0.0278233669990726,0.554218846552973,-3.36285581673374,NA,NA,"SET"
"209092_s_at",-0.229356217820614,10.4234511773136,-2.55300898597828,0.0278390667187133,0.554218846552973,-3.36334412077678,NA,NA,"GLOD4"
"206108_s_at",-0.227292851336165,9.92463878488839,-2.55029933817835,0.0279710128695824,0.554369615893316,-3.36743696309388,NA,NA,"SRSF6"
"203032_s_at",-0.247370924245116,8.9218548622219,-2.55018581167535,0.0279765544869163,0.554369615893316,-3.36760842842829,NA,NA,"FH"
"217365_at",0.218570656351781,5.42783222517879,2.54991912276824,0.0279895767481653,0.554369615893316,-3.36801121923363,NA,NA,"PRAMEF11"
"216044_x_at",-0.224756572752586,8.20189414213585,-2.54984935519706,0.0279929844443203,0.554369615893316,-3.36811659099497,NA,NA,"DIPK1A"
