##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	980-3-GFP_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	132311812
Sequences flagged as poor quality	0
Sequence length	150
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.03202178200084	37.0	37.0	37.0	37.0	37.0
2	35.86162478826909	37.0	37.0	37.0	37.0	37.0
3	36.04424670716474	37.0	37.0	37.0	37.0	37.0
4	36.020010881568155	37.0	37.0	37.0	37.0	37.0
5	36.064743433488765	37.0	37.0	37.0	37.0	37.0
6	36.025795013675726	37.0	37.0	37.0	37.0	37.0
7	35.96678597372697	37.0	37.0	37.0	37.0	37.0
8	36.038286679952655	37.0	37.0	37.0	37.0	37.0
9	36.03196224838943	37.0	37.0	37.0	37.0	37.0
10-14	35.992728055148994	37.0	37.0	37.0	37.0	37.0
15-19	36.00084017442071	37.0	37.0	37.0	37.0	37.0
20-24	35.972766174496954	37.0	37.0	37.0	37.0	37.0
25-29	35.91845973812225	37.0	37.0	37.0	37.0	37.0
30-34	35.86021784358905	37.0	37.0	37.0	37.0	37.0
35-39	35.830528548728516	37.0	37.0	37.0	37.0	37.0
40-44	35.806009717409054	37.0	37.0	37.0	37.0	37.0
45-49	35.78273585430151	37.0	37.0	37.0	37.0	37.0
50-54	35.75060691935804	37.0	37.0	37.0	37.0	37.0
55-59	35.73929937260628	37.0	37.0	37.0	37.0	37.0
60-64	35.72501079948931	37.0	37.0	37.0	37.0	37.0
65-69	35.68557211354645	37.0	37.0	37.0	37.0	37.0
70-74	35.640933107317736	37.0	37.0	37.0	37.0	37.0
75-79	35.5991209930675	37.0	37.0	37.0	37.0	37.0
80-84	35.588891783902106	37.0	37.0	37.0	37.0	37.0
85-89	35.601275536911245	37.0	37.0	37.0	37.0	37.0
90-94	35.57007758611907	37.0	37.0	37.0	37.0	37.0
95-99	35.52890594378679	37.0	37.0	37.0	37.0	37.0
100-104	35.445951622217976	37.0	37.0	37.0	37.0	37.0
105-109	35.407031766748084	37.0	37.0	37.0	37.0	37.0
110-114	35.328560416057186	37.0	37.0	37.0	37.0	37.0
115-119	35.22958818824128	37.0	37.0	37.0	37.0	37.0
120-124	35.0942561061744	37.0	37.0	37.0	27.4	37.0
125-129	34.92363146987965	37.0	37.0	37.0	25.0	37.0
130-134	34.66943513705337	37.0	37.0	37.0	25.0	37.0
135-139	34.4559331543279	37.0	37.0	37.0	25.0	37.0
140-144	34.089679728670035	37.0	37.0	37.0	25.0	37.0
145-149	33.62308389216225	37.0	37.0	37.0	25.0	37.0
150	33.45419984120541	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	25-29	0.039646015898988196
1103	30-34	0.03689574125881734
1103	35-39	0.021592381515574743
1103	40-44	0.0180926303599378
1103	45-49	0.036354971917837986
1103	50-54	0.008825130317561047
1103	55-59	0.0106183739418384
1103	60-64	0.0013141718596045848
1103	65-69	0.018742023768417937
1103	70-74	0.002030713180381838
1103	75-79	-0.011880720809607226
1103	80-84	-0.004732616006798196
1103	85-89	0.0020032038628485793
1103	90-94	0.02056650694599682
1103	95-99	0.0047684099557017134
1103	100-104	-0.002786846362830886
1103	105-109	0.12104187898042795
1103	110-114	0.046826255191213306
1103	115-119	0.07725232108326452
1103	120-124	0.0740119635995029
1103	125-129	0.02382879082697542
1103	130-134	0.002470480288224053
1103	135-139	-0.04201876153393869
1103	140-144	-0.05502560819066815
1103	145-149	-0.13766569786226768
1103	150	-0.09653447107869084
1104	1	-0.07424049686044754
1104	2	0.011611456474433623
1104	3	-0.0034338757001535214
1104	4	0.04884142974061234
1104	5	0.0037226405758303827
1104	6	-1.924906651566971E-4
1104	7	0.0315392781009578
1104	8	0.02065302394284174
1104	9	0.0024779731776689573
1104	10-14	0.018184635865324594
1104	15-19	0.012474019220505284
1104	20-24	0.04222997759966063
1104	25-29	0.016553341075812966
1104	30-34	-0.003743615934396871
1104	35-39	0.008074111249314342
1104	40-44	-0.003284606368985976
1104	45-49	0.009040724048617221
1104	50-54	0.008718540525848084
1104	55-59	-0.0026272725858689228
1104	60-64	0.0027704135452353285
1104	65-69	0.0031988513703069543
1104	70-74	-0.00247668596120576
1104	75-79	0.011934622223741087
1104	80-84	-0.021779639487057523
1104	85-89	0.017246359111709353
1104	90-94	-0.008688112448204777
1104	95-99	-0.008810267507563196
1104	100-104	-0.0011299643727653574
1104	105-109	0.051707544188779764
1104	110-114	0.06392875225225936
1104	115-119	0.04236860740429904
1104	120-124	0.06376174242549126
1104	125-129	0.031429666011021595
1104	130-134	-0.05586369406221792
1104	135-139	-0.05012979434308562
1104	140-144	0.001391449728210148
1104	145-149	-0.016890239958541997
1104	150	-0.11599397566074288
1105	1	0.015811134436724217
1105	2	-0.08571508774780057
1105	3	-0.01902323867583533
1105	4	-0.03912848596282714
1105	5	-0.06696691666762433
1105	6	0.036801478732606085
1105	7	-0.043077617991798434
1105	8	0.016234951439770384
1105	9	0.0060595940405363535
1105	10-14	-0.03567733670522699
1105	15-19	0.03875757072609076
1105	20-24	0.008375059201256363
1105	25-29	-0.015010512488153438
1105	30-34	0.01804318680576955
1105	35-39	0.02184752536139456
1105	40-44	-0.006976186523402816
1105	45-49	-0.036785005329349474
1105	50-54	0.02227358511290589
1105	55-59	-0.021776275687557245
1105	60-64	0.008598867676624877
1105	65-69	0.016831340917136117
1105	70-74	0.0098859096087196
1105	75-79	0.017423657871539433
1105	80-84	0.02610313971376854
1105	85-89	-1.8613671080203176E-4
1105	90-94	0.034938931563715414
1105	95-99	0.03299848419391793
1105	100-104	0.0179556544501267
1105	105-109	0.029943190874853087
1105	110-114	0.009937282398716718
1105	115-119	0.017973413297397656
1105	120-124	0.014760058718515268
1105	125-129	0.03755518181757367
1105	130-134	-0.026140105601662356
1105	135-139	-0.04125159042428095
1105	140-144	-0.08937476603016137
1105	145-149	-0.03186226754448285
1105	150	-0.1388350355501089
1106	1	-0.08327585638613044
1106	2	-0.08156995008568657
1106	3	0.01222182059107979
1106	4	0.052343277787990417
1106	5	0.07641392098229005
1106	6	-0.0052987447747909755
1106	7	-0.04935996745256688
1106	8	-0.04293340288068492
1106	9	-7.367422374926491E-5
1106	10-14	-0.01735756644166031
1106	15-19	-0.004895802908663427
1106	20-24	-0.012742071946135525
1106	25-29	-0.01974266618970688
1106	30-34	-0.034169417085784914
1106	35-39	-0.017079651055468048
1106	40-44	-0.050646506493414734
1106	45-49	-0.022401376547598773
1106	50-54	-0.008478066821545838
1106	55-59	-0.03983700058604711
1106	60-64	-0.0472349142000823
1106	65-69	-0.023291270334468095
1106	70-74	-0.03475405586993219
1106	75-79	-0.043355292623495245
1106	80-84	-0.06237886713976337
1106	85-89	0.01095707046571448
1106	90-94	0.022879073478819123
1106	95-99	-0.032678892239630386
1106	100-104	0.007296381728018275
1106	105-109	-0.005966549099973406
