"","Hour","dow_surgery_date","Count"
"407",8.38333333333333,"Tuesday",3
"408",8.38333333333333,"Wednesday",5
"409",8.4,"Friday",6
"410",8.4,"Thursday",2
"411",8.4,"Tuesday",1
"412",8.4,"Wednesday",7
"413",8.41666666666667,"Friday",3
"414",8.41666666666667,"Thursday",1
"415",8.41666666666667,"Tuesday",8
"416",8.41666666666667,"Wednesday",2
"417",8.43333333333333,"Friday",3
"418",8.43333333333333,"Monday",1
"419",8.43333333333333,"Sunday",1
"420",8.43333333333333,"Thursday",3
"421",8.43333333333333,"Tuesday",1
"422",8.43333333333333,"Wednesday",2
"423",8.45,"Friday",6
"424",8.45,"Monday",4
"425",8.45,"Sunday",1
"426",8.45,"Thursday",1
"427",8.45,"Tuesday",2
"428",8.45,"Wednesday",3
"429",8.46666666666667,"Friday",1
"430",8.46666666666667,"Monday",1
"431",8.46666666666667,"Thursday",2
"432",8.46666666666667,"Tuesday",1
"433",8.46666666666667,"Wednesday",6
"434",8.48333333333333,"Friday",2
"435",8.48333333333333,"Monday",2
"436",8.48333333333333,"Sunday",1
"437",8.48333333333333,"Thursday",5
"438",8.48333333333333,"Wednesday",2
"439",8.5,"Friday",2
"440",8.5,"Monday",2
"441",8.5,"Thursday",4
"442",8.5,"Tuesday",3
"443",8.5,"Wednesday",4
"444",8.51666666666667,"Friday",2
"445",8.51666666666667,"Monday",4
"446",8.51666666666667,"Thursday",3
"447",8.51666666666667,"Tuesday",2
"448",8.51666666666667,"Wednesday",4
"449",8.53333333333333,"Friday",3
"450",8.53333333333333,"Monday",4
"451",8.53333333333333,"Thursday",1
"452",8.53333333333333,"Tuesday",2
"453",8.53333333333333,"Wednesday",4
"454",8.55,"Friday",7
"455",8.55,"Monday",7
"456",8.55,"Saturday",1
"457",8.55,"Thursday",2
"458",8.55,"Tuesday",4
"459",8.55,"Wednesday",2
"460",8.56666666666667,"Friday",3
"461",8.56666666666667,"Monday",3
"462",8.56666666666667,"Thursday",5
"463",8.56666666666667,"Tuesday",2
"464",8.56666666666667,"Wednesday",1
"465",8.58333333333333,"Friday",5
"466",8.58333333333333,"Monday",6
"467",8.58333333333333,"Thursday",5
"468",8.58333333333333,"Tuesday",1
"469",8.58333333333333,"Wednesday",1
"470",8.6,"Friday",3
"471",8.6,"Monday",4
"472",8.6,"Sunday",1
"473",8.6,"Thursday",4
"474",8.6,"Tuesday",3
"475",8.6,"Wednesday",4
"476",8.61666666666667,"Friday",1
"477",8.61666666666667,"Thursday",2
"478",8.61666666666667,"Tuesday",2
"479",8.63333333333333,"Friday",2
"480",8.63333333333333,"Monday",3
"481",8.63333333333333,"Saturday",1
"482",8.63333333333333,"Thursday",5
"483",8.63333333333333,"Tuesday",3
"484",8.63333333333333,"Wednesday",3
"485",8.65,"Monday",1
"486",8.65,"Thursday",5
"487",8.65,"Wednesday",4
"488",8.66666666666667,"Monday",4
"489",8.66666666666667,"Thursday",3
"490",8.66666666666667,"Tuesday",2
"491",8.66666666666667,"Wednesday",3
"492",8.68333333333333,"Monday",1
"493",8.68333333333333,"Thursday",5
"494",8.68333333333333,"Tuesday",3
"495",8.68333333333333,"Wednesday",6
"496",8.7,"Friday",3
"497",8.7,"Monday",1
"498",8.7,"Thursday",1
"499",8.7,"Tuesday",1
"500",8.7,"Wednesday",4
"501",8.71666666666667,"Friday",5
"502",8.71666666666667,"Monday",4
"503",8.71666666666667,"Thursday",3
"504",8.71666666666667,"Tuesday",1
"505",8.71666666666667,"Wednesday",3
"506",8.73333333333333,"Friday",3
"507",8.73333333333333,"Monday",4
"508",8.73333333333333,"Saturday",2
"509",8.73333333333333,"Thursday",2
"510",8.73333333333333,"Tuesday",1
"511",8.73333333333333,"Wednesday",1
"512",8.75,"Monday",2
"513",8.75,"Thursday",1
"514",8.75,"Tuesday",1
"515",8.75,"Wednesday",3
"516",8.76666666666667,"Friday",2
"517",8.76666666666667,"Monday",6
"518",8.76666666666667,"Thursday",5
"519",8.76666666666667,"Tuesday",1
"520",8.76666666666667,"Wednesday",5
"521",8.78333333333333,"Friday",3
"522",8.78333333333333,"Monday",1
"523",8.78333333333333,"Thursday",5
"524",8.78333333333333,"Tuesday",5
"525",8.78333333333333,"Wednesday",3
"526",8.8,"Friday",1
"527",8.8,"Monday",6
"528",8.8,"Thursday",4
"529",8.8,"Wednesday",4
"530",8.81666666666667,"Friday",5
"531",8.81666666666667,"Monday",5
"532",8.81666666666667,"Thursday",2
"533",8.81666666666667,"Tuesday",4
"534",8.81666666666667,"Wednesday",4
"535",8.83333333333333,"Friday",3
"536",8.83333333333333,"Monday",5
"537",8.83333333333333,"Saturday",1
"538",8.83333333333333,"Thursday",8
"539",8.83333333333333,"Tuesday",3
"540",8.83333333333333,"Wednesday",4
"541",8.85,"Friday",1
"542",8.85,"Monday",3
"543",8.85,"Thursday",2
"544",8.85,"Tuesday",3
"545",8.85,"Wednesday",3
"546",8.86666666666667,"Friday",4
"547",8.86666666666667,"Monday",1
"548",8.86666666666667,"Thursday",11
"549",8.86666666666667,"Tuesday",2
"550",8.86666666666667,"Wednesday",3
"551",8.88333333333333,"Friday",4
"552",8.88333333333333,"Monday",3
"553",8.88333333333333,"Thursday",8
"554",8.88333333333333,"Tuesday",2
"555",8.88333333333333,"Wednesday",2
"556",8.9,"Friday",1
"557",8.9,"Monday",5
"558",8.9,"Saturday",1
"559",8.9,"Sunday",1
"560",8.9,"Thursday",10
"561",8.9,"Tuesday",3
"562",8.9,"Wednesday",3
"563",8.91666666666667,"Friday",7
"564",8.91666666666667,"Monday",3
"565",8.91666666666667,"Thursday",10
"566",8.91666666666667,"Tuesday",3
"567",8.91666666666667,"Wednesday",1
"568",8.93333333333333,"Friday",2
"569",8.93333333333333,"Monday",9
"570",8.93333333333333,"Thursday",13
"571",8.93333333333333,"Wednesday",6
"572",8.95,"Friday",1
"573",8.95,"Monday",7
"574",8.95,"Thursday",10
"575",8.95,"Tuesday",2
"576",8.95,"Wednesday",2
"577",8.96666666666667,"Friday",5
"578",8.96666666666667,"Monday",3
"579",8.96666666666667,"Thursday",21
"580",8.96666666666667,"Tuesday",4
"581",8.96666666666667,"Wednesday",3
"582",8.98333333333333,"Friday",4
"583",8.98333333333333,"Monday",4
"584",8.98333333333333,"Thursday",18
"585",8.98333333333333,"Tuesday",1
"586",8.98333333333333,"Wednesday",2
"587",9,"Friday",3
"588",9,"Monday",7
"589",9,"Thursday",27
"590",9,"Tuesday",2
"591",9,"Wednesday",3
"592",9.01666666666667,"Friday",3
"593",9.01666666666667,"Monday",2
"594",9.01666666666667,"Thursday",5
"595",9.01666666666667,"Tuesday",3
"596",9.01666666666667,"Wednesday",1
"597",9.03333333333333,"Friday",2
"598",9.03333333333333,"Monday",1
"599",9.03333333333333,"Thursday",12
"600",9.03333333333333,"Tuesday",5
"601",9.03333333333333,"Wednesday",4
"602",9.05,"Friday",4
"603",9.05,"Monday",2
"604",9.05,"Thursday",13
"605",9.05,"Tuesday",1
"606",9.05,"Wednesday",3
"607",9.06666666666667,"Friday",3
"608",9.06666666666667,"Monday",6
"609",9.06666666666667,"Thursday",8
"610",9.06666666666667,"Tuesday",4
