,APOBEC 2 ,Background  
MMRF_1274_1_BM,0.28400584,0.71599416
MMRF_1542_2_BM,0.282425327,0.717574673
MMRF_1782_1_BM,0.281626344,0.718373656
MMRF_2765_1_BM,0.280151701,0.719848299
MMRF_1913_3_BM,0.278110978,0.721889022
MMRF_1388_1_BM,0.276835292,0.723164708
MMRF_2231_1_BM,0.275936903,0.724063097
MMRF_2839_1_BM,0.275363077,0.724636923
MMRF_2659_1_BM,0.274767817,0.725232183
MMRF_1534_1_BM,0.274229768,0.725770232
MMRF_1431_1_BM,0.274165606,0.725834394
MMRF_1830_1_BM,0.274046681,0.725953319
MMRF_2266_1_BM,0.271195014,0.728804986
MMRF_1533_2_BM,0.270220375,0.729779625
MMRF_1309_2_BM,0.269389814,0.730610186
MMRF_1401_1_BM,0.268659065,0.731340935
MMRF_1433_3_BM,0.26854684,0.73145316
MMRF_2411_1_BM,0.268144459,0.731855541
MMRF_1960_1_BM,0.267099199,0.732900801
MMRF_2801_1_BM,0.266769368,0.733230632
MMRF_2438_1_BM,0.266583108,0.733416892
MMRF_1637_1_BM,0.266460283,0.733539717
MMRF_2507_1_BM,0.266023631,0.733976369
MMRF_1916_1_BM,0.265458176,0.734541824
MMRF_1889_2_BM,0.264957536,0.735042464
MMRF_1758_1_BM,0.264328972,0.735671028
MMRF_2745_1_BM,0.263763137,0.736236863
MMRF_1453_1_BM,0.263444837,0.736555163
MMRF_2113_1_BM,0.26313039,0.73686961
MMRF_1179_2_BM,0.262566567,0.737433433
MMRF_2068_1_BM,0.261531192,0.738468808
MMRF_1447_1_BM,0.261438009,0.738561991
MMRF_2302_1_BM,0.261134652,0.738865348
MMRF_1433_4_BM,0.260945997,0.739054003
MMRF_2722_1_BM,0.260695595,0.739304405
MMRF_2089_3_BM,0.260662504,0.739337496
MMRF_1031_1_BM,0.260457788,0.739542212
MMRF_2685_1_BM,0.259742934,0.740257066
MMRF_2093_1_BM,0.258048424,0.741951576
MMRF_2204_2_BM,0.257962286,0.742037714
MMRF_1618_1_BM,0.2575253,0.7424747
MMRF_1137_4_BM,0.257012987,0.742987013
MMRF_2793_1_BM,0.256323758,0.743676242
MMRF_1540_1_BM,0.256263795,0.743736205
MMRF_2515_1_BM,0.256044368,0.743955632
MMRF_1694_1_BM,0.255960715,0.744039285
MMRF_2132_1_BM,0.25560228,0.74439772
MMRF_1037_1_BM,0.254437167,0.745562833
MMRF_1152_1_BM,0.254324773,0.745675227
MMRF_2404_1_BM,0.253952327,0.746047673
MMRF_1401_2_BM,0.253624936,0.746375064
MMRF_2159_1_BM,0.253405811,0.746594189
MMRF_2676_1_BM,0.251595509,0.748404491
