	Feature	score
459	ENSG00000129951	34
460	ENSG00000130052	39
461	ENSG00000130066	1
462	ENSG00000130147	70
463	ENSG00000130164	4
464	ENSG00000130202	13
465	ENSG00000130203	-19
466	ENSG00000130508	36
467	ENSG00000130592	12
468	ENSG00000130595	5
469	ENSG00000130598	4
470	ENSG00000130635	25
471	ENSG00000130707	34
472	ENSG00000130881	3
473	ENSG00000131002	4
474	ENSG00000131042	23
475	ENSG00000131080	0
476	ENSG00000131355	-6
477	ENSG00000131401	31
478	ENSG00000131507	37
479	ENSG00000131669	16
480	ENSG00000131724	8
481	ENSG00000131979	17
482	ENSG00000131981	42
483	ENSG00000132170	57
484	ENSG00000132205	-3
485	ENSG00000132329	25
486	ENSG00000132465	-3
487	ENSG00000132514	34
488	ENSG00000132669	13
489	ENSG00000132694	12
490	ENSG00000132744	-4
491	ENSG00000132965	17
492	ENSG00000133048	50
493	ENSG00000133065	70
494	ENSG00000133069	0
495	ENSG00000133101	53
496	ENSG00000133105	23
497	ENSG00000133106	24
498	ENSG00000133134	35
499	ENSG00000133169	13
500	ENSG00000133317	57
501	ENSG00000133454	48
502	ENSG00000133561	0
503	ENSG00000133574	8
504	ENSG00000133742	-2
505	ENSG00000134061	9
506	ENSG00000134184	-8
507	ENSG00000134198	-16
508	ENSG00000134243	24
509	ENSG00000134256	-2
510	ENSG00000134323	6
511	ENSG00000134369	59
512	ENSG00000134460	1
513	ENSG00000134508	0
514	ENSG00000134531	29
515	ENSG00000134590	52
516	ENSG00000134627	26
517	ENSG00000134755	22
518	ENSG00000134827	-20
519	ENSG00000134830	10
520	ENSG00000134873	9
521	ENSG00000134901	-3
522	ENSG00000134909	41
523	ENSG00000134955	21
524	ENSG00000135047	38
525	ENSG00000135077	11
526	ENSG00000135218	2
527	ENSG00000135272	31
528	ENSG00000135318	51
529	ENSG00000135362	5
530	ENSG00000135424	23
531	ENSG00000135426	29
532	ENSG00000135525	50
533	ENSG00000135604	1
534	ENSG00000135636	9
535	ENSG00000135678	26
536	ENSG00000135709	10
537	ENSG00000135838	26
538	ENSG00000135862	7
539	ENSG00000135916	19
540	ENSG00000135929	17
541	ENSG00000136026	6
542	ENSG00000136068	33
543	ENSG00000136158	15
544	ENSG00000136193	50
545	ENSG00000136205	49
546	ENSG00000136250	13
547	ENSG00000136315	35
548	ENSG00000136379	13
549	ENSG00000136689	35
550	ENSG00000136717	10
551	ENSG00000136732	15
552	ENSG00000136826	31
553	ENSG00000136830	21
554	ENSG00000136854	59
555	ENSG00000136869	4
556	ENSG00000136929	35
557	ENSG00000136999	5
558	ENSG00000137198	6
559	ENSG00000137331	14
560	ENSG00000137393	10
561	ENSG00000137441	11
562	ENSG00000137462	5
563	ENSG00000137571	38
564	ENSG00000137673	-3
565	ENSG00000137726	19
566	ENSG00000137801	-1
567	ENSG00000137942	49
568	ENSG00000137959	7
569	ENSG00000138061	1
570	ENSG00000138080	80
571	ENSG00000138083	48
572	ENSG00000138119	9
573	ENSG00000138131	53
574	ENSG00000138316	12
575	ENSG00000138449	25
576	ENSG00000138678	50
577	ENSG00000138722	4
578	ENSG00000138795	0
579	ENSG00000138829	1
580	ENSG00000139117	173
581	ENSG00000139132	20
582	ENSG00000139318	12
583	ENSG00000139626	-17
584	ENSG00000139679	8
585	ENSG00000139737	50
586	ENSG00000140022	19
587	ENSG00000140030	16
588	ENSG00000140090	12
589	ENSG00000140287	2
590	ENSG00000140379	13
591	ENSG00000140443	38
592	ENSG00000140545	-2
593	ENSG00000140678	9
594	ENSG00000140749	5
595	ENSG00000140968	23
596	ENSG00000141469	23
597	ENSG00000141574	15
598	ENSG00000141753	19
599	ENSG00000142089	34
600	ENSG00000142156	20
601	ENSG00000142173	33
602	ENSG00000142192	104
603	ENSG00000142303	59
604	ENSG00000142405	29
605	ENSG00000142512	13
606	ENSG00000142552	16
607	ENSG00000142583	38
608	ENSG00000142611	36
609	ENSG00000142798	6
610	ENSG00000143013	31
611	ENSG00000143110	16
612	ENSG00000143167	45
613	ENSG00000143226	19
614	ENSG00000143369	29
615	ENSG00000143382	-1
616	ENSG00000143416	-11
617	ENSG00000143546	18
618	ENSG00000143627	-4
619	ENSG00000143776	33
620	ENSG00000143797	4
621	ENSG00000143878	3
622	ENSG00000143889	38
623	ENSG00000143995	136
624	ENSG00000144218	8
625	ENSG00000144354	32
626	ENSG00000144407	10
627	ENSG00000144476	29
628	ENSG00000144485	1
629	ENSG00000144668	76
630	ENSG00000144677	64
631	ENSG00000144893	24
632	ENSG00000145335	-17
633	ENSG00000145569	44
634	ENSG00000145649	11
635	ENSG00000145708	12
636	ENSG00000146072	0
637	ENSG00000146192	12
638	ENSG00000146205	61
639	ENSG00000146373	52
640	ENSG00000146416	44
641	ENSG00000146592	-7
642	ENSG00000147138	5
643	ENSG00000147145	46
644	ENSG00000147180	27
645	ENSG00000147206	6
646	ENSG00000147394	16
647	ENSG00000147408	22
648	ENSG00000147443	13
649	ENSG00000147488	86
650	ENSG00000147852	1
651	ENSG00000147889	11
652	ENSG00000148200	39
653	ENSG00000148346	-4
654	ENSG00000148411	23
655	ENSG00000148468	58
656	ENSG00000148488	76
657	ENSG00000148908	33
658	ENSG00000149131	38
659	ENSG00000149177	27
660	ENSG00000149212	40
661	ENSG00000149257	13
662	ENSG00000149289	43
663	ENSG00000149294	-16
664	ENSG00000149418	10
665	ENSG00000149516	2
666	ENSG00000149534	4
667	ENSG00000149564	53
668	ENSG00000150054	71
669	ENSG00000150337	17
670	ENSG00000150540	60
671	ENSG00000150594	2
672	ENSG00000150760	96
673	ENSG00000150907	62
674	ENSG00000151062	57
675	ENSG00000151136	-3
676	ENSG00000151376	29
677	ENSG00000151468	24
678	ENSG00000151491	22
679	ENSG00000151612	29
680	ENSG00000151650	19
681	ENSG00000151651	2
682	ENSG00000151726	31
683	ENSG00000151778	4
684	ENSG00000151929	64
685	ENSG00000151948	17
686	ENSG00000151967	41
687	ENSG00000152104	59
688	ENSG00000152192	17
689	ENSG00000152207	3
690	ENSG00000152217	61
691	ENSG00000152492	8
692	ENSG00000152580	51
693	ENSG00000152661	6
694	ENSG00000152689	9
695	ENSG00000152760	24
696	ENSG00000152766	0
697	ENSG00000152953	48
698	ENSG00000153234	-5
699	ENSG00000153283	38
700	ENSG00000153885	24
701	ENSG00000153944	31
702	ENSG00000154027	75
703	ENSG00000154133	32
704	ENSG00000154134	53
705	ENSG00000154146	49
706	ENSG00000154188	12
707	ENSG00000154229	34
708	ENSG00000154358	9
709	ENSG00000154589	2
710	ENSG00000154760	32
711	ENSG00000154783	10
712	ENSG00000154864	84
713	ENSG00000155254	17
714	ENSG00000155465	10
715	ENSG00000155659	12
716	ENSG00000155962	25
717	ENSG00000155966	29
718	ENSG00000156298	96
719	ENSG00000156414	56
720	ENSG00000156535	47
721	ENSG00000156966	11
722	ENSG00000157077	50
723	ENSG00000157110	56
724	ENSG00000157227	57
725	ENSG00000157303	29
726	ENSG00000157404	19
727	ENSG00000157554	13
728	ENSG00000157601	-1
729	ENSG00000157653	3
730	ENSG00000158089	49
731	ENSG00000158106	33
732	ENSG00000158292	31
733	ENSG00000158473	41
734	ENSG00000158481	41
735	ENSG00000158517	41
736	ENSG00000158578	-5
737	ENSG00000158715	11
738	ENSG00000158806	3
739	ENSG00000158825	33
740	ENSG00000158856	-2
