"2016-2017 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schools with 20 or more students enrolled that reported and schools that did not report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
SCHOOL CODE,COUNTY,PUB/  PRIV,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,UP-TO-DATE†,,CONDI- TIONAL^,,PME**,,PBE***,,OTHERS§ ,,OVERDUE ††,,DTP†††,,POLIO¥,,MMR‡,,HEPB‡‡,,VAR¶,,REPORTED¶¶
,,,,,,,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,
6000566,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,CABRILLO ELEMENTARY,48,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y
6000590,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,E. M. GRIMMER ELEMENTARY,100,98,98,2,2,0,0,0,0,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,98,98,--*,≥99%,Y
6111330,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,FOREST PARK ELEMENTARY,144,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6106983,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,FRED E. WEIBEL ELEMENTARY,108,105,97,3,3,0,0,0,0,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,106,98,--*,≥99%,Y
6000624,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,GLENMOOR ELEMENTARY,96,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6000640,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,HARVEY GREEN ELEMENTARY,72,70,97,2,3,0,0,0,0,0,0,0,0,--*,≥98%,--*,≥98%,70,97,--*,≥98%,--*,≥98%,Y
6000665,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,J. HALEY DURHAM ELEMENTARY,142,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6000673,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JAMES LEITCH ELEMENTARY,349,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6000541,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN BLACOW ELEMENTARY,105,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6000723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN G. MATTOS ELEMENTARY,101,98,97,3,3,0,0,0,0,0,0,0,0,99,98,--*,≥99%,99,98,--*,≥99%,--*,≥99%,Y
6066468,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN GOMES ELEMENTARY,194,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6000681,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOSEPH AZEVADA ELEMENTARY,99,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6090526,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOSHUA CHADBOURNE ELEMENTARY,95,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6090534,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MISSION SAN JOSE ELEMENTARY,102,100,98,2,2,0,0,0,0,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,100,98,--*,≥99%,Y
6000749,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MISSION VALLEY ELEMENTARY,112,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6000756,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,NILES ELEMENTARY,48,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y
