"","c2.geneId","c2.symbol","c2.uniprotId","c0.score","Gene.Name","Gene.ID","Brodmann..1909..area.24","Brodmann..1909..area.9","amygdala","caudate.nucleus","cerebellar.hemisphere","cerebellum","cerebral.cortex","hippocampus.proper","hypothalamus","nucleus.accumbens","pituitary.gland","putamen","substantia.nigra","Human.GeneID","Mouse.GeneID","phenotype.x","genes.x","phenotype.y","genes.y","idgTDL","uniprotId"
"971",4288,"MKI67","P46013",0.0002747267842131,"MKI67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4288,NA,NA,NA,NA,NA,NA,NA
"972",4306,"NR3C2","P08235",0.0002747267842131,"NR3C2","ENSG00000151623",3,4,2,3,4,4,4,3,2,3,4,2,2,4306,NA,NA,NA,NA,"NR3C2","Tclin","P08235"
"973",4478,"MSN","P26038",0.0002747267842131,"MSN","ENSG00000147065",14,12,15,19,5,8,12,16,20,15,23,16,22,4478,NA,NA,NA,NA,NA,NA,NA
"974",4076,"CAPRIN1","Q14444",0.0002747267842131,"CAPRIN1","ENSG00000135387",14,16,12,14,18,15,14,13,14,14,17,12,12,4076,NA,NA,NA,NA,NA,NA,NA
"975",3897,"L1CAM","P32004",0.0002747267842131,"L1CAM","ENSG00000198910",14,20,5,9,66,77,26,6,20,12,8,7,5,3897,NA,NA,NA,NA,NA,NA,NA
"976",3981,"LIG4","P49917",0.0002747267842131,"LIG4","ENSG00000174405",5,6,4,4,6,6,5,5,6,5,8,4,5,3981,NA,NA,NA,NA,NA,NA,NA
"977",4487,"MSX1","P28360",0.0002747267842131,"MSX1","ENSG00000163132",3,3,2,2,0.8,1,4,3,2,1,14,1,2,4487,NA,NA,NA,NA,NA,NA,NA
"978",4719,"NDUFS1","P28331",0.0002747267842131,"NDUFS1","ENSG00000023228",7,9,5,6,7,7,7,5,6,7,6,6,5,4719,"Ndufs1",NA,"Ndufs1","hypoactivity","NDUFS1","Tclin","P28331"
"979",4719,"NDUFS1","P28331",0.0002747267842131,"NDUFS1","ENSG00000023228",7,9,5,6,7,7,7,5,6,7,6,6,5,4719,"Ndufs1",NA,"Ndufs1","abnormal behavior","NDUFS1","Tclin","P28331"
"980",4723,"NDUFV1","P49821",0.0002747267842131,"NDUFV1","ENSG00000167792",31,35,23,28,48,50,40,25,27,30,37,29,28,4723,"Ndufv1",NA,"Ndufv1","abnormal behavioral response to light","NDUFV1","Tclin","P49821"
"981",51111,"KMT5B","Q4FZB7",0.0002747267842131,"KMT5B","ENSG00000110066",4,4,4,4,11,10,4,4,4,4,7,4,4,51111,NA,NA,NA,NA,NA,NA,NA
"982",5174,"PDZK1","Q5T2W1",0.0002747267842131,"PDZK1","ENSG00000174827",NA,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,5174,NA,NA,NA,NA,NA,NA,NA
"983",5191,"PEX7","O00628",0.0002747267842131,"PEX7","ENSG00000112357",3,3,2,3,2,2,3,3,3,3,4,3,3,5191,NA,NA,NA,NA,NA,NA,NA
"984",5309,"PITX3","O75364",0.0002747267842131,"PITX3","ENSG00000107859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,5309,"Pitx3",NA,"Pitx3","increased exploration in new environment",NA,NA,NA
"985",5309,"PITX3","O75364",0.0002747267842131,"PITX3","ENSG00000107859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,5309,"Pitx3",NA,"Pitx3","decreased exploration in new environment",NA,NA,NA
"986",5309,"PITX3","O75364",0.0002747267842131,"PITX3","ENSG00000107859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,5309,"Pitx3",NA,"Pitx3","hypoactivity",NA,NA,NA
"987",5309,"PITX3","O75364",0.0002747267842131,"PITX3","ENSG00000107859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,5309,"Pitx3",NA,"Pitx3","decreased vertical activity",NA,NA,NA
"988",5309,"PITX3","O75364",0.0002747267842131,"PITX3","ENSG00000107859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,5309,"Pitx3",NA,"Pitx3","abnormal social/conspecific interaction",NA,NA,NA
"989",5309,"PITX3","O75364",0.0002747267842131,"PITX3","ENSG00000107859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,5309,"Pitx3",NA,"Pitx3","abnormal behavioral response to light",NA,NA,NA
"990",5309,"PITX3","O75364",0.0002747267842131,"PITX3","ENSG00000107859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,5309,"Pitx3",NA,"Pitx3","increased grip strength",NA,NA,NA
"991",5309,"PITX3","O75364",0.0002747267842131,"PITX3","ENSG00000107859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,5309,"Pitx3",NA,"Pitx3","abnormal sleep behavior",NA,NA,NA
"992",5309,"PITX3","O75364",0.0002747267842131,"PITX3","ENSG00000107859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,5309,"Pitx3",NA,"Pitx3","increased coping response",NA,NA,NA
"993",5340,"PLG","P00747",0.0002747267842131,"PLG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5340,NA,NA,NA,NA,"PLG","Tclin","P00747"
