county,year_week,case_mean,case_mean_per100thou,next_week_mean,next_week_per100thou,next_week_increase,vacc_incidence_n,vacc_incidence_per100thou,mean_per_pop_fully_vacc,mean_fully_vacc_n,vacc_prevalence_per100thou,mean_retail_rec,mean_grocery_pharm,mean_parks,mean_transit_stations,mean_workplaces,mean_residential
Gloucester County,2020 - 45,51.65307142857143,17.71148672611455,91.24497142857143,31.28727983807604,1,0,0,0,0,0,-17.714285714285715,-6.857142857142857,72.14285714285714,-36.57142857142857,-30,8.714285714285714
Gloucester County,2020 - 46,91.24497142857143,31.28727983807604,137.592,47.1793605727688,1,0,0,0,0,0,-18.857142857142858,-7.428571428571429,58.142857142857146,-35,-28.714285714285715,9.285714285714286
Gloucester County,2020 - 47,137.592,47.1793605727688,137.42842857142858,47.123273042912594,0,0,0,0,0,0,-20.142857142857142,-4.714285714285714,45.285714285714285,-37,-28.142857142857142,10
Gloucester County,2020 - 48,137.42842857142858,47.123273042912594,150.87757142857143,51.73489261564808,1,0,0,0,0,0,-23,-9.285714285714286,31.714285714285715,-44,-40.142857142857146,13.285714285714286
Gloucester County,2020 - 49,150.87757142857143,51.73489261564808,214.46928571428572,73.54005874250288,1,0,0,0,0,0,-19.571428571428573,-9.428571428571429,8.714285714285714,-39.714285714285715,-30,11.571428571428571
Gloucester County,2020 - 50,214.46928571428572,73.54005874250288,184.42857142857142,63.23930222214384,0,0,0,0,0,0,-16.428571428571427,-4.571428571428571,33.285714285714285,-37,-28.714285714285715,10.571428571428571
Gloucester County,2020 - 51,184.42857142857142,63.23930222214384,179.2652857142857,61.46884668363498,0,0,0,0,0,0,-18,-1.4285714285714286,4.428571428571429,-37.714285714285715,-31,12.571428571428571
Gloucester County,2020 - 52,179.2652857142857,61.46884668363498,169.6937142857143,58.18681996931596,0,0,0,0,0,0,-15.571428571428571,1.7142857142857142,3.4285714285714284,-46.714285714285715,-41.57142857142857,13.571428571428571
Gloucester County,2020 - 53,169.6937142857143,58.18681996931596,195.73442857142857,67.11600370716529,1,0,0,0,0,0,-20.428571428571427,-11.571428571428571,7.142857142857143,-49.285714285714285,-44.285714285714285,15
Gloucester County,2021 - 01,195.73442857142857,67.11600370716529,214.32642857142858,73.49107400027039,1,56.857142857142854,19.49592740853079,0.028571428571428574,91.42857142857143,31.35023502879323,-26.285714285714285,-10.857142857142858,-8.714285714285714,-42.57142857142857,-31.285714285714285,12.571428571428571
Gloucester County,2021 - 02,214.32642857142858,73.49107400027039,187.93885714285713,64.44295530828057,0,223.71428571428572,76.71010633607844,0.44285714285714284,1310.4285714285713,449.33704049862547,-25.857142857142858,-13.285714285714286,11.142857142857142,-37.142857142857146,-29.857142857142858,11.428571428571429
Gloucester County,2021 - 03,187.93885714285713,64.44295530828057,185.61228571428572,63.64518979628226,0,205.14285714285714,70.3420898458548,0.9,2621,898.7230657394836,-25.428571428571427,-14.285714285714286,4.571428571428571,-36.285714285714285,-31.285714285714285,11.428571428571429
Gloucester County,2021 - 04,185.61228571428572,63.64518979628226,131.2652857142857,45.009973293518534,0,252.71428571428572,86.65400900927379,1.4285714285714286,4188.857142857143,1436.330611741055,-27.571428571428573,-14.285714285714286,-13.428571428571429,-37.714285714285715,-29.428571428571427,11.714285714285714
Gloucester County,2021 - 05,131.2652857142857,45.009973293518534,91.83672857142857,31.490189335825676,0,447.42857142857144,153.42021267215688,2.185714285714286,6388.714285714285,2190.6466573791595,-35.857142857142854,-17.857142857142858,-16,-45.42857142857143,-36.285714285714285,15.285714285714286
Gloucester County,2021 - 06,91.83672857142857,31.490189335825676,75.67348571428572,25.947923340837797,0,878.4285714285714,301.2071799875775,3.9571428571428573,11564.285714285714,3965.314883720019,-30.142857142857142,-15.142857142857142,-27.571428571428573,-39.857142857142854,-32,12.571428571428571
Gloucester County,2021 - 07,75.67348571428572,25.947923340837797,71.65307142857142,24.569350638663067,0,731.2857142857143,250.7528954881134,5.928571428571429,17317.285714285714,5937.979438164601,-29.285714285714285,-17.428571428571427,-22,-42.714285714285715,-35.714285714285715,14.285714285714286
Gloucester County,2021 - 08,71.65307142857142,24.569350638663067,72.83674285714285,24.975223517378804,1,834.1428571428571,286.02190989550576,7.7,22507.571428571428,7717.693092955406,-19.857142857142858,-12,5.428571428571429,-35.57142857142857,-28.428571428571427,9.857142857142858
Gloucester County,2021 - 09,72.83674285714285,24.975223517378804,72.40815714285714,24.82826439220711,0,725.7142857142857,248.84249054104626,9.67142857142857,28174.428571428572,9660.819847833798,-18.571428571428573,-10.428571428571429,3.857142857142857,-35.285714285714285,-28.714285714285715,9.714285714285714
Gloucester County,2021 - 10,72.40815714285714,24.82826439220711,81.99998571428571,28.117237142974705,1,965.5714285714286,331.087872749396,11.72857142857143,34190,11723.518358501695,-13.571428571428571,-9.571428571428571,83.71428571428571,-29.857142857142858,-28,8.285714285714286
Gloucester County,2021 - 11,81.99998571428571,28.117237142974705,99.7755,34.212340040324236,1,1075,368.6101852994829,14.32857142857143,41793.28571428572,14330.63329434148,-10.714285714285714,-8.285714285714286,34.857142857142854,-27.142857142857142,-28.428571428571427,8.571428571428571
Gloucester County,2021 - 12,99.7755,34.212340040324236,109.79585714285714,37.64825232236663,1,939.1428571428571,322.0256954363855,16.514285714285712,48161.857142857145,16514.373103065856,-8.857142857142858,-7.142857142857143,94.85714285714286,-26.714285714285715,-27.714285714285715,7.571428571428571
Gloucester County,2021 - 13,109.79585714285714,37.64825232236663,105.28585714285714,36.10180401008694,0,1283.5714285714287,440.1279089589175,19.242857142857144,56136.28571428572,19248.75039922565,-7,0.14285714285714285,43.142857142857146,-29.571428571428573,-31.571428571428573,8.571428571428571
Gloucester County,2021 - 14,105.28585714285714,36.10180401008694,114.99985714285714,39.43266851241175,1,1424,488.2799105734545,22.385714285714286,65304,22392.297247253427,-11.857142857142858,-9.142857142857142,103.42857142857143,-27.285714285714285,-34,7.428571428571429
Gloucester County,2021 - 15,114.99985714285714,39.43266851241175,97.83684285714286,33.54758769738402,0,1363.2857142857142,467.4613951246466,25.885714285714286,75467.28571428571,25877.21876389942,-10.571428571428571,-7.428571428571429,71.14285714285714,-28.857142857142858,-28.285714285714285,7.428571428571429
Gloucester County,2021 - 16,97.83684285714286,33.54758769738402,48.28572857142857,16.556847773055647,0,1160.142857142857,397.8050916700466,29.014285714285716,84577,29000.877806580804,-8.428571428571429,-4.428571428571429,114.14285714285714,-24,-28,6.714285714285714
Gloucester County,2021 - 17,48.28572857142857,16.556847773055647,64.18367142857143,22.008144203243575,1,1114,381.9830199289525,31.47142857142857,91779.14285714286,31470.443586231762,-7,-2.5714285714285716,111,-24.285714285714285,-27.285714285714285,6.285714285714286
Gloucester County,2021 - 18,64.18367142857143,22.008144203243575,35.95918571428572,12.330160101731513,0,1246.142857142857,427.2939064940052,34.42857142857143,100391.28571428571,34423.488771717384,-4.428571428571429,2,104.85714285714286,-25.571428571428573,-27.428571428571427,5.571428571428571
