county,state,cocaineDeath,year,fips,meanHouseholdSize,prevDisabled,gini,prevHispanic,medianAge,prevMedicaid,prevMinBachelors,prevBlack,prevWhite,perCapIncome,prevMen,nPop,prevPoverty,medianRentCostBurden,prevNoCar,totalJailAdmit,jailAdmit100k
Brevard,FL,253,2015-2019,12009,11.83,15.78,0.45,10.29,2.51,47,15.57,30.17,9.28,74.44,32176,48.92,585507,30.9,4.83,87300,178454619.787408
Bristol,MA,327,2015-2019,25005,11.33,14.02,0.46,7.99,2.50,41,27.74,28.66,3.94,81.28,35747,48.41,561037,28.3,10.63,31840,65771534.8068581
Broome,NY,70,2015-2019,36007,17.41,15.69,0.47,4.21,2.33,40,25.66,28.38,5.15,83.38,28699,49.21,193188,32.5,12.11,26462.5,53774639.30095509
Broward,FL,516,2015-2019,12011,13.07,10.83,0.49,29.81,2.77,40,16.84,32.41,27.57,36.28,32909,48.7,1926205,36.0,7.07,205702.5,422387063.6550308
Brunswick,NC,56.66666666666667,2015-2019,37019,11.77,16.38,0.45,4.81,2.34,54,16.68,29.86,9.68,81.91,33312,48.11,131815,30.2,3.77,45500,94574932.44647683
Bucks,PA,121.66666666666666,2015-2019,42017,5.87,10.81,0.45,5.32,2.58,44,10.82,41.29,3.86,84.06,45849,49.08,626806,30.0,4.88,26592.5,54181947.840260796
Buncombe,NC,98.75,2015-2019,37021,12.20,13.33,0.47,6.57,2.33,42,15.08,40.14,6.22,83.54,32426,47.97,256886,31.2,5.17,66080,137752762.14300606
Burlington,NJ,173.33333333333331,2015-2019,34005,6.15,11.77,0.43,8.04,2.61,42,12.82,38.02,16.04,67.43,43187,49.18,445702,29.6,4.62,30680,62383082.553883694
Butler,OH,227,2015-2019,39017,12.53,12.32,0.44,4.71,2.65,37,17.61,30.24,7.98,81.01,31921,49.01,380019,27.9,5.19,92693.75,189132319.93470722
Butler,PA,98.75,2015-2019,42019,8.24,12.71,0.44,1.49,2.37,43,12.79,35.97,0.90,94.69,37811,49.51,186899,26.5,6.40,12643.75,25537770.147444963
Cabarrus,NC,75,2015-2019,37025,10.22,10.48,0.43,10.44,2.84,38,15.11,32.29,17.45,65.59,32255,48.75,206615,26.9,4.36,27300,56000000
Cabell,WV,117,2015-2019,54011,22.30,18.43,0.51,1.40,2.31,39,26.80,26.04,4.86,89.85,25271,48.94,94339,33.9,12.25,13589.037499999999,27766729.668982424
Calhoun,MI,60,2015-2019,26025,16.43,15.43,0.44,5.24,2.41,40,24.91,21.04,10.37,77.52,26855,49.01,134212,29.9,8.71,52092.5,106289532.7484187
Cambria,PA,85,2015-2019,42021,15.40,18.61,0.43,1.63,2.23,45,23.92,21.12,3.17,92.71,26008,49.22,133009,28.5,10.69,15641.25,31778240.552620888
Camden,NJ,620,2015-2019,34007,12.24,13.53,0.47,16.77,2.67,39,21.86,32.45,18.26,56.67,35958,48.28,506738,32.3,10.98,63006.25,130501760.56338027
Campbell,KY,72.5,2015-2019,21037,13.50,12.15,0.46,2.05,2.43,38,15.93,36.32,3.20,92.30,34025,48.9,92861,28.5,7.43,40820,83476482.61758693
Cape May,NJ,50,2015-2019,34009,9.76,14.24,0.47,7.68,2.25,50,16.27,32.82,4.43,85.27,40389,48.87,93086,37.0,7.33,12955,26509105.790873747
Carroll,MD,101.66666666666666,2015-2019,24013,5.21,11.74,0.40,3.53,2.70,42,11.77,36.38,3.45,89.05,42083,49.47,167699,29.0,4.56,8837.5,17864362.23974126
Catawba,NC,60,2015-2019,37035,13.22,14.17,0.46,9.68,2.49,41,18.90,22.62,8.06,75.54,28224,48.92,157613,24.0,4.94,44460,90883074.40719542
Cecil,MD,58.33333333333333,2015-2019,24015,9.79,13.71,0.41,4.41,2.73,41,20.16,23.93,6.38,85.12,34810,49.75,102552,30.7,5.12,14040,28221105.52763819
Champaign,IL,52.5,2015-2019,17019,20.01,8.96,0.51,5.96,2.36,30,14.65,45.02,13.35,67.16,30578,49.84,209922,31.8,11.04,27220,54614767.25521669
Champaign,OH,50,2015-2019,39021,10.15,15.86,0.38,1.59,2.51,42,18.64,16.08,1.83,93.29,27722,49.84,38845,22.7,5.20,5855.7125,11749021.869983947
Charles,MD,56.66666666666667,2015-2019,24017,6.33,8.77,0.38,5.78,2.78,38,14.59,28.94,45.43,40.16,41717,48.16,159428,29.9,3.12,14560,30232558.139534887
Charleston,SC,113,2015-2019,45019,13.74,10.83,0.51,5.13,2.45,38,13.71,43.60,26.53,64.53,39914,48.44,401165,30.6,6.85,88550,182803468.2080925
Chatham,GA,50,2015-2019,13051,15.06,14.43,0.49,6.40,2.55,36,16.87,33.58,39.43,48.50,32229,48.14,288496,29.8,8.16,77955,161933942.6672206
Chautauqua,NY,50,2015-2019,36013,18.20,16.17,0.45,7.48,2.31,43,27.84,22.25,2.35,87.44,26165,49.31,128496,31.8,11.90,15076.25,30574427.09389576
Chester,PA,157.5,2015-2019,42029,6.44,8.89,0.46,7.41,2.65,40,9.88,52.99,5.61,79.44,50927,49.26,519560,27.7,4.53,25001.25,50753654.08038977
Chesterfield,VA,111.25,2015-2019,51041,6.79,10.91,0.41,8.83,2.72,39,10.29,40.47,22.74,61.79,37658,48.2,343551,29.1,2.82,68321.25,141745331.95020747
