Gene_name,BMI_1,BMI_3,foldchange,ANOVA
RP11-977P2.1_46110,0.290088296,0.235391086,0.05469721,0.297772053
RP11-978I15.10_46111,0.357666181,0.484126141,-0.12645996,0.091266423
RP11-97C16.1_46112,7.348277285,7.414256468,-0.065979183,0.395544695
RP11-97C18.1_46113,0.209846914,0.179848028,0.029998885,0.439935982
RP11-97E7.1_46114,0.728134644,0.715048119,0.013086524,0.874147966
RP11-97E7.2_46115,0.081882215,0.06665344,0.015228775,0.643192683
RP11-97F8.1_46116,0,0,0,NA
RP11-97N10.1_46117,0,0.011200665,-0.011200665,0.216387643
RP11-97N19.2_46118,0.250605625,0.394860952,-0.144255327,0.073420181
RP11-97N19.3_46119,0.384319664,0.518776271,-0.134456607,0.188659976
RP11-97O12.3_46120,0.161391879,0.187704827,-0.026312948,0.543921905
RP11-97O12.5_46121,2.731993132,2.804181091,-0.072187959,0.611981943
RP11-97O12.6_46122,6.431883399,6.424640911,0.007242487,0.923495779
RP11-97O12.7_46123,6.940486546,7.03434635,-0.093859805,0.2995165
RP11-981G7.1_46124,4.625601122,4.552606996,0.072994126,0.156025271
RP11-981G7.3_46125,1.58851838,1.694862328,-0.106343948,0.416664258
RP11-981G7.6_46126,6.212750091,6.209547906,0.003202185,0.984020187
RP11-981P6.1_46127,7.015292732,7.1086756,-0.093382869,0.330709448
RP11-982M15.2_46128,7.214583643,7.148967619,0.065616023,0.714518314
RP11-982M15.5_46129,0.621330006,0.670280614,-0.048950608,0.624947043
RP11-982M15.6_46130,0.901885711,0.926690598,-0.024804887,0.836760289
RP11-982M15.7_46131,3.415450086,3.37185175,0.043598336,0.531762067
RP11-982M15.8_46132,5.146082155,5.088529042,0.057553113,0.249215162
RP11-983C2.1_46133,0.106311098,0.058934728,0.047376369,0.213072237
RP11-983C2.2_46134,0.360707899,0.250684538,0.110023361,0.188337304
RP11-983C2.3_46135,0.039343065,0.03031805,0.009025015,0.673099104
RP11-983G14.1_46136,0.885646286,0.718241298,0.167404988,0.15651488
RP11-983G14.3_46137,1.258299593,1.226088703,0.03221089,0.469746104
RP11-983P16.2_46138,3.371051249,3.385880086,-0.014828837,0.826535089
RP11-983P16.4_46139,7.942823866,7.965885974,-0.023062108,0.657701184
RP11-986E7.2_46140,0.090598474,0.053620197,0.036978277,0.259759932
