Insert_Size	DF_927_1_GFP_tdt	DF_927_1_GFP	DF_980_3_GFP_tdt	DF_980_3_GFP
299	68461	55221	69821	66376
300	68662	55528	71942	68702
301	68413	55645	71007	67159
302	67887	55609	71826	68958
303	68221	55209	72055	68690
304	66963	55289	70606	68409
305	66902	53625	69365	67339
306	66449	52602	69516	67290
307	65712	51885	68593	66915
308	65766	52506	69338	68351
309	65203	52568	69148	66889
310	65312	52891	71554	69794
311	66953	54831	72989	74972
312	64743	53221	70234	67057
313	64551	52724	68327	66402
314	65757	54208	72166	73032
315	63333	50200	68013	66023
316	63283	50450	68397	67385
317	63026	50408	67915	68431
318	63749	50694	70824	76812
319	62629	51855	68275	69609
320	62169	50151	67090	66740
321	65134	50646	72845	83050
322	62339	52453	69358	70214
323	61907	50874	68116	68609
324	61900	51799	68401	70373
325	60398	50149	67432	67908
326	60496	49021	66430	67853
327	60707	49695	67665	70843
328	61121	50428	68143	69352
329	61646	49466	70706	76958
330	60459	50593	68876	69545
331	61155	48179	66914	67997
332	59645	48942	67308	66165
333	60140	50242	68387	69015
334	59611	48749	67242	67777
335	60839	49608	71255	72623
336	58708	47665	66657	67352
337	59345	47744	67985	69158
338	58632	47317	66929	67447
339	59174	48838	67919	69068
340	59653	48237	67606	69877
341	59781	50302	70345	71585
342	59020	49344	69701	72894
343	60535	51764	72068	74409
344	60352	51500	72574	76518
345	57748	48022	67890	69646
346	58232	48675	69784	71428
347	58064	48525	68741	71794
348	56961	47134	66462	67788
349	56364	47263	67185	67090
350	57744	49557	69656	70314
351	57735	50513	70369	72550
352	56864	49011	68480	70694
353	57609	49097	70249	74283
354	56805	46831	68122	71492
355	55981	45605	65690	69326
356	55419	45651	66745	71330
357	56359	45948	67168	71674
358	57889	47969	72373	81295
359	55802	46074	67103	72911
360	55503	46811	68612	73343
361	55410	46430	66220	70669
362	54560	45514	66676	71951
363	54610	45152	66841	73991
364	53740	43144	64210	68910
365	53026	42467	63478	67649
366	52770	41853	61923	66535
367	50806	39988	58843	63837
368	51984	40489	61788	67283
369	51880	41376	62790	72119
370	51762	40841	61370	69325
371	50902	39416	59370	65666
372	50748	40019	60635	67436
373	52272	40988	63891	75157
374	49839	39592	59378	63028
375	49421	38719	57437	61084
376	48279	38227	56480	58631
377	48946	38358	56523	60992
378	47291	36454	54871	57396
379	47999	36486	55103	59300
380	47890	36104	55343	58881
381	47428	36010	54730	58041
382	46688	35452	54041	56756
383	46845	36494	54363	58759
384	46799	36974	54980	59728
385	46130	36007	54447	57156
386	45454	34847	52011	54385
387	45688	34739	52612	56624
388	46014	34917	52901	59748
389	44922	34579	51787	56307
390	45460	34192	51937	55909
391	46310	35600	53606	62312
392	44054	33836	51394	56268
393	44465	35463	52916	57519
394	45617	35265	53709	61924
395	43444	33642	49310	53218
396	43548	33779	49924	54030
397	43536	33164	50271	54072
398	43918	34691	52503	56812
399	43489	33327	49977	54395
400	42706	33293	49763	55281
401	42399	33672	50104	54512
402	42866	33683	51573	57567
403	42123	32064	49501	52450
404	41412	31519	48811	52675
405	41501	31149	47872	50020
406	42086	32694	49493	52303
407	41247	31002	48200	52088
408	42680	33122	51448	55606
409	41689	32701	50138	54996
410	41413	32273	49525	53621
411	40921	30935	47710	51942
412	40232	30415	47693	50768
413	41274	32242	50012	55718
414	40018	31096	48012	52059
415	39193	30398	46512	50359
416	39807	29775	46210	49798
417	38094	28356	44273	46546
418	37702	27596	43145	45802
419	38166	28521	44378	45200
420	37590	28199	44399	46198
421	37251	28283	44443	45956
422	36770	27346	42014	43898
423	37319	27301	42987	44961
424	36673	27283	43325	45540
425	36602	27430	42318	45055
426	37038	27715	43035	44444
427	36211	27441	43268	43100
428	36327	27343	42807	44840
429	36139	27440	42418	42805
430	35358	26212	41709	41938
431	36551	29227	42972	46057
432	35773	27805	43177	44090
433	35658	27213	42367	43198
434	36717	28783	45647	44630
435	35046	28639	43214	44265
436	35306	28549	42941	44230
437	39404	34819	52738	65264
438	37891	32124	49621	59314
439	36974	30579	46930	52746
440	36501	31835	47198	53177
441	37085	32357	49857	55228
442	36670	31704	48501	56204
443	37248	33669	49809	55566
444	36994	32793	49213	56165
445	37839	34154	51511	61405
446	42450	41974	64396	78022
447	38324	34880	54306	65459
448	37332	34156	51642	59008
449	37409	34179	51069	63548
450	37371	32923	49696	60587
451	35742	31468	47930	54052
452	36429	32473	49676	63605
453	36439	31322	49538	60369
454	34890	29764	46351	51273
455	36428	31523	50291	61427
456	36461	31556	51408	63434
457	35429	30051	47260	57485
458	36095	31183	49416	62026
459	35832	30187	47620	56917
460	35408	30144	48575	55347
461	34208	28614	45661	53115
462	36109	30803	50915	59711
463	35145	29963	47887	57058
464	35406	30726	48405	59138
465	36383	32020	51064	60869
466	34406	29315	47325	56516
467	36342	31226	51650	62039
468	37404	32565	53204	66575
469	35509	30332	50104	62217
470	35450	30917	50384	63549
471	34931	30598	49429	61155
472	33630	28883	46648	57847
473	34211	28726	48095	59954
474	33730	27973	47316	58040
475	35172	30177	49231	63692
476	34541	29926	48099	62781
477	33694	28544	46517	60217
478	34571	30168	48081	67793
479	37837	35412	55437	85893
480	33034	28579	45382	60777
481	32976	27802	45505	55159
482	33276	27692	45244	54944
483	32642	27484	44739	54398
484	33072	28283	45361	57759
485	33643	30799	46732	59910
486	34131	31952	47779	60680
487	32321	26874	43371	54139
488	33910	29005	47057	61613
489	34420	30984	49129	63447
490	35477	32953	50906	66071
491	36729	34971	54555	73872
492	34008	31423	49676	64722
493	32184	28129	45559	57333
494	33232	29616	47222	64965
495	32671	28742	45342	58349
496	31383	28330	43760	55740
497	33129	29695	46604	62652
498	32559	28807	46126	60623
499	31590	26724	42054	56085
500	34562	30049	50218	63663
501	31245	25934	41923	54217
502	30853	26887	42458	54077
503	32084	28348	44805	60205
504	30526	26208	42222	53592
505	30588	24579	39965	49886
506	30325	24612	40170	51033
507	29518	23880	38540	49702
508	30362	24842	40802	51905
509	30488	25386	41432	57233
510	30341	26635	41651	56800
511	29784	25904	41121	53483
512	28685	23119	37814	47415
513	28502	23006	37529	46488
514	27327	21509	35517	42843
515	28457	22452	35998	46256
516	28081	22906	36567	45423
517	29153	25651	38215	52669
518	28304	23301	36959	48772
519	27024	21615	34475	43562
520	28036	23702	37030	49128
521	28268	24580	38722	51450
522	26527	20617	33636	41877
523	26546	21668	34578	43568
524	26826	21894	33989	43312
525	26043	20990	32776	40392
526	26570	21483	34207	42773
527	27264	23919	35846	46784
528	27206	22150	35366	43013
529	25811	19437	31646	38359
530	25740	20036	32750	40499
531	26241	22348	33702	42220
532	26546	23032	34672	44217
533	25884	21863	33221	42331
534	25441	20087	32312	39306
535	24259	18345	29899	35448
536	25835	19470	32381	39483
537	24217	19042	30723	35917
538	24577	19736	31392	36956
539	24274	18421	30004	36150
540	24246	19058	30837	38884
541	24271	19243	30736	37252
542	23341	17378	28973	34980
543	23735	18765	30505	35694
544	24218	18434	30420	35613
545	23805	18974	30794	36371
546	22855	16922	28404	32178
547	22700	17378	28958	32633
548	22450	17162	28488	32908
549	23678	18171	30231	34717
550	23668	18352	29564	36683
551	24669	20388	32993	41684
552	23336	20088	31354	36321
553	23267	19059	30445	35044
554	22144	17180	28037	31202
555	22336	17597	28202	32322
556	22178	16961	27809	32569
557	22857	18269	29171	33289
558	22615	18157	29278	33510
559	24873	21764	33936	40155
560	21980	17234	27527	31141
561	21649	17196	26907	30333
562	21388	16459	26638	29403
563	21151	16275	26667	29996
564	21811	17777	28112	31929
565	22880	18552	29337	33568
566	21883	17040	27873	31559
567	20694	16302	26028	28412
568	20698	15807	25445	27436
569	20660	15597	24896	27097
570	20386	15610	25547	27544
571	20773	15850	26052	28488
572	20732	16312	26174	29084
573	21178	16807	27282	30817
574	22469	18742	30321	33225
575	20586	16063	26067	27938
576	20258	15964	25324	27640
577	20156	14859	24722	26685
578	19892	15854	25383	27577
579	20672	15109	24588	27452
580	20264	15546	25421	28037
581	20513	15707	25273	28552
582	20887	16411	27181	29558
583	20466	15095	25673	27193
584	19359	14564	24055	26072
585	19285	14564	23051	24864
586	18948	14503	23294	24360
587	18736	14526	23549	25299
588	19309	14674	24345	26147
589	18862	13949	23273	25563
590	19392	14444	23117	25654
591	19021	14035	23228	25473
592	18816	13623	22541	24106
593	18900	13783	22751	23644
594	18561	13655	22750	23982
595	18217	13534	21826	23470
596	17987	13226	21913	23247
597	17867	13001	21477	23336
598	18118	13055	21556	23334
599	18471	13002	21650	23614
600	18187	13169	21735	23417
601	18432	13032	22108	23315
602	18011	13049	21409	22453
603	17803	13238	21572	22674
604	18180	13311	21361	22988
605	17976	13178	21004	22679
606	18106	13044	21612	22481
607	18374	13497	22174	24183
608	17733	12835	21614	22752
609	17227	12850	21140	21987
610	17698	12964	20775	22579
611	17593	12590	20420	21955
612	17453	12913	20765	22205
613	17104	12744	20495	21823
614	16411	12188	19685	21029
615	16954	12639	19789	21096
616	17150	12650	20038	21516
617	16740	12255	19494	21042
618	16798	12529	19909	21289
619	16975	12662	19588	21094
620	16744	12458	19321	20506
621	16640	12262	19650	21030
622	16269	12482	19039	20165
623	16253	12116	18463	19495
624	15855	11804	18427	19256
625	15959	11977	18607	19340
626	15995	12071	18318	19381
627	15855	12017	18326	19534
628	16265	12229	18463	19336
629	16033	11976	18780	19176
630	16055	12007	18903	19437
631	16503	12425	19113	19495
632	16270	12553	19090	19779
633	15854	12662	18922	19091
634	15765	12196	18644	18962
635	15626	11994	18484	19244
636	16103	12939	19094	19952
637	16251	12729	18997	20064
638	16017	12528	18823	19082
639	16150	12774	19312	19716
640	16017	12961	18843	19508
641	16077	12714	19565	20039
642	16066	13186	20044	19905
643	15923	12675	19325	19719
644	15816	12496	19148	19647
645	15332	12097	18502	18955
646	15433	12267	18518	19268
647	15832	12730	18864	19648
648	15634	12706	18977	19842
649	15538	12070	17785	18368
650	15647	13219	18799	19390
651	15387	12851	18820	18846
652	15156	12127	18105	18792
653	15105	11969	18115	19056
654	15431	12490	18386	18841
655	15007	12281	17988	18596
656	15203	12563	18039	18450
657	15063	12007	18118	18701
658	14486	11991	17377	18171
659	14425	11645	17338	17987
660	14542	11625	17205	18514
661	14632	11900	18087	18142
662	14840	11430	17923	18547
663	14854	11769	17614	18256
664	14479	11475	17267	17985
665	14839	11579	17603	17818
666	14561	11458	17512	17741
667	14262	11309	17076	17484
668	14520	11925	17303	17877
669	14634	11719	17470	18181
670	14585	11624	17733	18728
671	14704	12011	18051	19022
672	14623	11629	17320	18426
673	14099	11713	17272	18105
674	14632	11581	17605	18264
675	14680	11834	17601	17945
676	14399	11822	17503	18198
677	14262	11701	17052	18039
678	14210	11226	16462	17696
679	14105	11111	16466	17539
680	14049	11376	16688	17498
681	14499	11369	16670	17625
682	14308	11590	17428	17767
683	14334	11182	17081	17935
684	14605	11622	17058	17947
685	13835	11002	16678	17633
686	13888	11047	16514	17200
687	13502	11065	16466	17459
688	14271	11995	17660	18332
689	14888	13803	19406	19902
690	14851	15166	20688	20611
691	14902	15679	20146	20551
692	14917	15777	19536	20482
693	14782	16356	20113	20478
694	14484	13812	18229	18808
695	14964	15096	19637	20381
696	15082	16947	20658	21276
697	14286	15601	19640	20176
698	14470	16124	19487	20391
699	15050	17997	21423	22033
700	14725	15832	20549	21268
701	14597	15584	19625	21094
702	14527	16775	19721	21251
703	14025	15879	19323	20325
704	14246	15315	19298	20567
705	14511	15147	19412	21026
706	14506	14516	19194	21185
707	14244	14760	19168	21403
708	14358	14450	18591	20846
709	14547	13977	19340	21502
710	14396	14565	20113	22334
711	14821	14007	20439	22316
712	13997	13486	19368	20809
713	13970	13886	19195	21279
714	14010	13929	19062	20751
715	15507	15177	22026	24797
716	15211	15230	21885	24112
717	14038	13410	19292	21430
718	14663	14457	20160	22033
719	13537	12492	17763	19743
720	13688	12948	18338	20366
721	14722	14488	19996	21740
722	14526	14461	20166	22671
723	14562	14269	20129	22441
724	13515	13910	18977	21625
725	15552	14360	22845	27548
726	14352	14201	20238	22695
727	13914	12954	19547	21794
728	13517	12991	18619	20756
729	14099	13470	19170	22046
730	13882	12959	18841	21608
731	14299	13959	20353	23281
732	14774	14782	21277	24194
733	15342	14947	21956	25237
734	14210	14069	19854	22905
735	14639	15506	21185	24908
736	14769	14236	20606	24315
737	14137	14612	19835	23987
738	14439	15233	20352	24721
739	14725	15545	21417	26390
740	14811	15091	21114	25851
741	14195	14811	20500	24433
742	13732	13104	19015	22605
743	14091	14232	19259	23695
744	13466	13825	18942	22849
745	14252	14316	20058	24851
746	14650	14699	21085	26422
747	14593	14527	20825	26304
748	14677	14587	20956	26590
749	14844	15157	21353	28254
750	14415	14709	20385	27147
751	14916	14802	21326	28353
752	15269	15756	22069	31024
753	14938	15142	21506	29816
754	15189	15255	22174	30163
755	15060	16278	22470	32041
756	14898	15006	21840	29932
757	14336	13842	20131	26973
758	15575	15329	23102	32078
759	14897	14074	21748	28390
760	13932	13816	20779	27778
761	14142	14091	20586	28470
762	14214	13367	20564	28118
763	14046	13573	20599	28311
764	13489	12245	18639	24775
765	13690	12847	19390	26446
766	13181	12564	18794	25254
767	13100	11996	18470	22810
768	13581	12625	19485	26084
769	13793	12530	19720	25132
770	14037	12853	19743	25566
771	13236	12340	19437	24215
772	13348	12123	19069	23656
773	13817	13240	20351	26189
774	13762	12771	20033	25814
775	13092	12626	19093	25167
776	13265	12849	19108	24114
777	13058	12890	18891	24035
778	12909	12208	19425	24957
779	13602	12763	19619	25188
780	13157	12468	19122	23426
781	13361	13225	20322	24596
782	13490	13229	19889	24454
783	13607	14178	20107	25538
784	13950	14946	21031	27227
785	13436	14382	19923	26270
786	12997	13494	18721	24179
787	13257	14758	19519	25007
788	13411	13021	20009	24483
789	13424	12813	19660	23660
790	13320	13504	20006	25209
791	13402	13737	20093	24623
792	12868	13827	19520	23335
793	12882	13638	18566	23310
794	13125	12744	19070	23101
795	12769	12467	18832	22336
796	12645	12279	19008	22648
797	12571	12280	18332	21852
798	13734	14359	20826	24750
799	13599	13154	20990	24095
800	12513	12258	18389	22345
801	12670	12419	18686	21572
802	12370	12092	18174	21544
803	12468	11360	18471	21301
804	12794	11903	18481	22261
805	13351	13651	21522	24377
806	13410	13539	21387	24281
807	12669	13164	19620	22642
808	12742	13167	19686	22688
809	13150	13455	20081	22833
810	12942	13018	20530	23741
811	12765	12310	19346	21813
812	12726	12923	19458	22172
813	12579	13218	19526	22108
814	13104	12823	20215	22442
815	12226	12763	18948	22022
816	12910	13318	20059	22846
817	12790	12697	19878	21952
818	12964	12625	19704	22496
819	12754	12412	19732	22353
820	12606	11850	19015	22771
821	12950	12021	19815	22434
822	12425	11602	18278	21455
823	12284	11176	18209	20888
824	12204	12010	18857	21667
825	12460	12183	19909	22134
826	12640	12846	19381	22938
827	12433	11852	19088	21689
828	12255	12401	19131	21719
829	12270	11506	18079	20785
830	12239	11382	18663	20857
831	12196	11486	18647	21251
832	13032	11997	20352	22542
833	13001	11628	19758	22173
834	12006	11376	18209	20627
835	12230	11119	18794	21359
836	12562	11337	19450	22667
837	12553	11563	19731	22588
838	12524	11649	18848	21925
839	13184	12324	20557	23618
840	12628	11395	19660	22431
841	12841	11668	19544	22483
842	13251	12563	21625	24474
843	13719	12883	21911	24756
844	12421	11555	19228	22236
845	12700	11512	19406	22562
846	13020	11570	19571	22855
847	14144	13452	22069	24397
848	13301	12444	20954	22781
849	13234	12293	21061	22530
850	13224	12614	20677	22675
851	13199	12490	21153	24226
852	13020	12531	20367	22640
853	13451	12457	21456	23645
854	13221	13134	21614	23011
855	13388	13227	21305	23407
856	13522	13013	21885	24495
857	14038	13592	22804	25063
858	13232	12476	21023	23958
859	12696	11714	19462	22228
860	12800	12202	20458	22283
861	13577	12924	21422	22847
862	13294	12782	20763	22527
863	14004	13049	22024	23886
864	14345	13690	23653	25493
865	14456	14244	24305	26028
866	14429	13561	23129	25008
867	14465	13535	23757	25731
868	13451	12436	21321	23059
869	12514	11938	19666	21851
870	12843	11911	19539	21356
871	12477	11723	19308	21311
872	13687	12777	21980	23687
873	12693	11437	19254	21865
874	12811	11872	19629	21928
875	13265	12336	20954	23151
876	12418	11693	18913	20779
877	12168	11501	18621	21742
878	12666	11621	19422	21828
879	12482	11352	18600	21182
880	12142	11183	18274	20793
881	12345	10727	18451	21068
882	12256	10929	17295	20377
883	12398	11264	18578	21094
884	12088	10923	18012	20478
885	11904	10957	17283	20318
886	11637	10570	16781	19275
887	11906	10718	17327	19797
888	11735	10678	17434	19875
889	11979	10328	17108	19571
890	12097	10807	17110	19346
891	11778	10022	16622	19015
892	11863	10641	17097	19736
893	11719	10766	16916	19001
894	11629	10306	16849	19111
895	12468	11175	17908	20530
896	11947	10734	17123	19279
897	12122	10645	17237	19502
898	11569	10399	16706	19581
899	12055	11029	17428	19331
900	11875	10645	17200	19799
901	11824	10774	17074	19383
902	11884	10620	17160	19682
903	11593	10670	16721	19209
904	11428	10128	16335	18696
905	11993	10753	17129	18878
906	11423	10387	16391	17929
907	11187	10045	16529	18650
908	11425	10484	17007	18934
909	11806	10596	17028	19587
910	12107	11030	17510	20075
911	11507	10254	16627	19455
912	11590	10003	16517	18266
913	11460	10807	16588	18043
914	11203	10307	16415	17692
915	11022	10112	15668	17686
916	11556	10070	16489	18119
917	11558	10144	16967	18739
918	11119	9922	15364	17377
919	11251	10091	15870	17463
920	11459	10137	15593	17825
921	11108	10013	16060	18270
922	10824	9625	15227	16460
923	10654	9177	14319	16180
924	10513	9669	15160	15994
925	10573	9509	14935	16554
926	10992	9342	15280	16416
927	11263	10136	16085	17584
928	11193	9294	15380	16416
929	10801	9460	15028	16765
930	11119	9310	14982	17152
931	10916	10066	15671	17101
932	10593	9628	14942	16069
933	10725	9570	15226	16198
934	10555	9507	14751	15998
935	10513	9094	14241	15990
936	10354	9211	14259	16175
937	10705	9698	15136	16157
938	11403	10423	16536	18049
939	10536	9439	14845	15943
940	10691	9422	14657	15695
941	10407	9452	14953	15718
942	10545	9123	14288	15885
943	10468	9085	13769	15290
944	10673	9048	13937	15682
945	10480	9282	14820	15695
946	10380	9541	14402	15648
947	10455	9636	14694	15729
948	10295	9275	14339	15631
949	10195	9246	14174	15366
950	10413	9192	14576	15856
951	10476	9146	14551	15381
952	10413	9157	14078	15278
953	9985	9134	14369	15053
954	9838	8819	13582	14937
955	10062	8550	13395	14580
956	9987	8793	13430	14625
957	10041	8917	13468	14515
958	10244	8718	13710	14212
959	9791	8559	13727	14844
960	9766	8384	13268	13709
961	9969	8795	14056	14581
962	9903	8573	13021	14413
963	9943	8566	13173	14120
964	10139	8876	14034	14560
965	10009	8969	13740	14164
966	9983	8915	13172	14155
967	9974	8646	13360	14363
968	9805	8991	13995	14679
969	10066	9156	14501	14624
970	9545	8386	13390	14171
971	9678	8578	12580	13146
972	9745	8506	12924	13365
973	9824	8416	13389	14157
974	9596	8657	12973	13724
975	9671	8617	12887	13417
976	9768	8599	13294	13993
977	9231	8432	12292	12966
978	9259	8124	12390	12697
979	9318	8002	12095	12530
980	9479	8057	12165	12856
981	9326	8464	12527	13324
982	9350	8172	12368	13483
983	9724	8370	12855	13673
984	9185	8234	12624	12857
985	9245	8063	12356	12773
986	9575	8208	13025	13444
987	9528	8321	12871	13546
988	9754	8340	12740	13402
989	9223	7977	12172	12735
990	9484	8134	12715	13473
991	9548	8134	12584	13187
992	9325	8103	12664	13512
993	9391	8362	12697	13369
994	9808	8455	13459	14148
995	9298	8315	12730	13365
996	9897	8891	13266	13983
997	9536	8564	13215	13813
998	10058	9113	14225	14951
999	9864	8528	13762	14351
1000	9435	8169	12688	13748
1001	9819	8618	13319	13837
1002	10187	9247	14060	15055
1003	10456	9632	14658	15397
1004	9807	9170	13670	14467
1005	9857	9021	13508	14351
1006	9985	8937	13750	14159
1007	10129	8844	13500	14282
1008	9724	8902	13624	14167
1009	9971	9178	14164	14878
1010	9715	8935	13513	14476
1011	9708	8596	13379	14482
1012	9874	9182	13899	14767
1013	10560	8867	14031	15071
1014	9771	8348	13186	14683
1015	9735	8170	13372	14705
1016	10039	8588	13713	14961
1017	10370	9278	14401	16387
1018	9921	8751	13731	15899
1019	9952	8528	13120	14545
1020	9712	8372	13697	15377
1021	9640	8273	12750	14290
1022	9716	8168	13349	15296
1023	9837	8287	13138	14915
1024	9765	8120	12623	14549
1025	9548	8289	13127	15237
1026	9648	8326	12585	14471
1027	9591	8487	12571	14248
1028	10011	8665	12943	14962
1029	9939	8436	13228	14520
1030	9798	8418	13059	14442
1031	9696	8433	12851	14169
1032	10052	8342	13241	14168
1033	10218	8550	13759	15415
1034	10491	8986	14516	15900
1035	9948	8819	13181	14626
1036	9762	8497	12551	13773
1037	9555	8809	12695	13744
1038	9690	8676	12671	13453
1039	9591	8463	12521	13445
1040	10098	9100	14051	14711
1041	9234	8158	11937	12557
1042	9566	8355	12506	13494
1043	9760	8502	12838	13592
1044	9446	8419	12859	13810
1045	9275	8242	11710	12812
1046	9480	8228	11916	13143
1047	9145	8325	11941	12512
1048	9371	8594	12489	13208
1049	9616	9334	12625	13593
