"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","DISTRICT_NAME","COUNTY_NAME","MUNICIPALITY_NAME"
"2018037189","2","0","ME","7","202962B     ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018102088","1","0","ME","7","2833710     ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018104011","1","0","IN","7","P574750 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018090471","2","0","ZZ","7","99999999999 ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018088089","2","0","ME","7","214696D     ","2000","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018037328","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019017139","2","0","","1","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018057620","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018062818","1","0","ME","7","22-7336B    ","2017","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018008701","1","0","ME","7","2549816     ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018062059","1","0","IN","7","1898KP      ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018088785","1","0","","6","UNKOWN ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018138186","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018107854","1","0","ZZ","7","99999999999 ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018060530","1","0","NJ","7","TMP540 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018048900","1","0","OK","7","6055KF      ","2009","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018036840","1","0","OK","7","2073GN      ","2021","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018096505","3","0","NJ","7","TBB 45W     ","2006","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018072299","2","0","QC","6","RA0335Z ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018025438","2","0","PA","7","ZKV3476 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018069638","2","0","PA","7","PT8032P ","2020","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018031497","1","0","ME","7","B711262 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018122023","6","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018046836","1","0","NJ","6","TTC65Y ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018118332","2","0","","3","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018117755","2","0","UT","3","2427028     ","2017","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018088415","2","0","","3","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018061314","1","0","NJ","7","TTT14D ","2021","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018074908","1","0","PA","7","MG9992J ","2020","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018078048","1","0","PA","6","AH0176 ","2016","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018042638","1","0","ZZ","7","9999999999  ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019017167","1","0","","2","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018096318","1","0","IL","7","129227ST    ","2016","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018019856","2","0","NJ","7","T278ZN ","2099","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018133432","2","0","","2","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018113901","1","0","ME","7","2526040     ","2025","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018109058","2","0","NJ","7","TTT38D ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019076068","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018093931","1","0","TX","7","078B921     ","1118","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018100641","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018122806","1","0","PA","7","PT8774Y ","2015","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018109275","2","0","ZZ","7","999999999   ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018136226","2","0","OH","7","TQY6272 ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018043577","1","0","TN","7","U014094 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019079677","1","0","NJ","3","TSR680 ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018042408","2","0","ME","7","23-8500A    ","2013","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019005924","1","0","VA","6","523801TL    ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018130222","1","0","IN","7","P590875 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018133433","1","0","","1","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018042129","2","0","NY","7","BD86976 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018037342","1","0","","2","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018104097","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018047472","2","0","NJ","7","AE123 ","1997","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019006268","2","0","IN","7","P668320 ","2020","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018062041","2","0","HI","7","TRC2754 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018079617","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018011165","2","0","ME","7","2553700     ","2025","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019076813","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019002539","1","0","ME","7","2065576     ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018093112","1","0","","1","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018046526","1","0","NB","7","TPR829 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018071667","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018054875","1","0","ME","7","21TLR98488  ","2016","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018030124","2","0","","9","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018030124","1","0","","9","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019032084","1","0","ME","7","2351490     ","2023","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018020682","1","0","NJ","7","TNJ35G ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018087065","1","0","","3","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018023063","1","0","PA","6","XHD8774 ","2008","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018077804","2","0","NJ","7","TTE64Y ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018010858","2","0","TN","7","U110102 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018014174","1","0","OK","7","4754LQ      ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018030043","1","0","ZZ","7","999999999   ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018092518","1","0","TN","7","0013287     ","2021","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
