"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY","DISTRICT","MUNICIPALITY","DISTRICT_NAME","COUNTY_NAME","MUNICIPALITY_NAME"
"03","3","2","600 FIRST BLVD","","WILMINGTON","DE","19804","TIRE SALES LLCC","3029942900","2018","2018025458","","","","","","N","","","","","","N","","00007740","02","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","2","1","805B W SECOND ST","","CHESTER","PA","19013","EDEN GREEN ENERGY","4844905489","2018","2018026399","025999","","","","","N","","","","","","N","","01826641","03","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018026527","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018026741","999999","","","","","N","","","","","","N","","","10","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","2","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018026803","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","2","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018026812","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","3","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2018","2018026819","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","2","200 HAHN RD","","PITTSBURGH","PA","99999","FIRST STUDENT INC","9999999999","2018","2018026855","999999","","","","","N","","","","","","N","","","10","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","8833 STENTON","","WYNDMOOR","PA","19038","LYRIC HEALTH CARE FACILITIES","9999999999","2018","2018026865","999999","","","","","N","","","","","","N","","","10","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","2","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018026866","999999","","","","","N","","","","","","N","","","10","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","2","3208 TILTON ST","","PHILA","PA","19134","JOEY CS TOWING AND RECOVERY","9999999999","2018","2018026878","999999","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","UNKNOWN","","PHILA","PA","99999","DURHAM SCHOOL SERVICES","9999999999","2018","2018026879","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018027219","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","2","UNKNOWN","","UNKNOWN","IN","99999","SWIFT TRANSPORT","9999999999","2018","2018027224","999999","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","1","1 CAESAR PLACE","","MOONACHIE","NJ","07074","PKNY INTERNATIONAL INC","9999999999","2018","2018027225","999999","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018027625","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","2","221 W ROOSEVELT BLVD","","PHILA","PA","19120","ROCKLAND COLLISION CENTER","9999999999","2018","2018027656","014000","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","2","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018027670","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","2","2","3206 HAMMONDS FERRY RD","","BALTIMORE","MD","21227","PENSKE LEASING AND RENTAL COMP","9999999999","2018","2018027739","026000","","","","","N","","","","","","N","","01469215","99","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","2","2","4000 CLINE AVENUE","","EAST CHICAGO","IN","46312","PENSKE TRUCK LEASING CO L P","9999999999","2018","2018027792","054000","","","","","N","","","","","","N","","00010107","06","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","2","1","455 DUNKSFERRY RD","","BENSALEM","PA","19020","METRO BEVERAGE OF PHILADELPHIA","9999999999","2018","2018027792","025999","","","","","N","","","","","","N","","00742938","03","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"04","1","1","11690 NW 105ST","","MIAMI","FL","33178","RYDER","8007933765","2018","2018028641","080000","","","","","N","","","","","","N","","01272302","09","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","1","2560 N AMERICAN ST","","PHILA","PA","19133","CHONG FOOK FARM TRADING LLC","9999999999","2018","2018028710","026000","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","2","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018028783","999999","","","","","N","","","","","","","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","1","UNKNOWN","","UNKNOWN","ZZ","99999","AMOROSO","9999999999","2018","2018028796","999999","","","","","N","","","","","","N","","","99","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
