"COUNTY","DISTRICT_NAME","COUNTY_NAME","MUNICIPALITY_NAME","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018004095","4 ","829","W","3","1","0076","3401","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018011939","4 ","2898","S","3","1","0095","0195","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018004109","4 ","2113","N","3","1","0095","0310","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018009828","04","1656","N","3","1","0095","0304","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018012557","3 ","2823","W","3","1","0676","0003","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018002537","3 ","1576","N","3","1","0095","0124","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018008383","4 ","2289","S","3","1","0095","0251","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018013676","1 ","3363","S","3","2","8007","0510","20","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018003695","2 ","0","S","4","2","3013","0031","35","ISLAND AV","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018012682","1 ","0","N","4","2","8057","0010","20","RAMP C RD","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018011168","4 ","1607","S","3","1","0095","0275","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018020323","3 ","509","S","4","2","6001","0211","40","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018005817","3 ","1993","E","3","1","0676","0004","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018003695","03","","W","5","4","","","35","LINDBERGH BL","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018014304","3 ","1732","S","3","1","0095","0265","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018011070","3 ","2535","S","3","1","0095","0265","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018008656","2 ","5031","E","3","1","0076","3444","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018008701","3 ","423","W","3","1","0076","3471","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018007265","2 ","523","W","3","1","0076","3441","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018004194","3 ","1780","E","3","1","0076","3414","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018006503","4 ","2274","N","3","1","0095","0300","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018007089","02","","N","3","4","","","25","MASCHER ST","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018014174","01","","E","3","4","","","25","WALT WHITMAN RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018011941","01","","E","3","4","","","20","E BUTLER ST","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018020080","4 ","1475","N","3","1","0095","0300","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018011964","3 ","1704","N","3","1","0095","0164","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018011160","1 ","1743","S","4","2","8047","0280","20","RAMP TP RD","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018004353","3 ","913","S","3","2","0001","0161","40","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018012693","4 ","506","E","3","1","0076","3400","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018013641","2 ","2567","E","3","1","0076","3444","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018012246","01","","N","4","4","","","25","41ST ST","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018003152","3 ","8","S","3","1","0095","0325","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018002147","01","","N","5","4","","","25","SYDENHAM ST","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018011798","3 ","2348","W","3","1","0076","3431","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018014779","4 ","2372","E","3","1","0076","3400","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018020081","4 ","494","S","3","1","0095","0311","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018005701","4 ","2916","N","3","1","0095","0294","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018003231","03","880","S","3","2","0001","0171","40","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018012700","3 ","3101","S","3","1","0095","0165","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018007850","3 ","1028","S","3","1","0095","0221","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018008585","4 ","11","N","3","1","0095","0224","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018022362","3 ","2101","S","3","1","0095","0325","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018022528","3 ","1507","S","3","1","0095","0211","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018024955","3 ","2223","W","3","1","0676","0003","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018027324","02","","W","3","4","","","25","LOUDON ST","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018020041","3 ","1541","S","3","1","0095","0321","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018021852","3 ","593","S","3","1","0095","0315","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018020323","02","","W","5","4","","","30","SUMMERDALE AV","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018015082","3 ","7","E","3","1","0076","3470","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018016307","02","","S","3","4","","","25","FRONT ST","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018023202","4 ","2607","E","3","1","0076","3410","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018023206","3 ","586","N","3","1","0095","0164","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018028272","2 ","222","E","3","1","0676","0010","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018019856","3 ","2475","W","3","1","0076","3465","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018020840","4 ","529","W","3","1","0076","3395","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018022562","3 ","2540","W","3","1","0676","0005","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
