##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	927-1-GFP-TdT_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	106851634
Sequences flagged as poor quality	0
Sequence length	150
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.28246694851667	37.0	37.0	37.0	37.0	37.0
2	36.206708808964024	37.0	37.0	37.0	37.0	37.0
3	36.353926585717915	37.0	37.0	37.0	37.0	37.0
4	36.388894006057036	37.0	37.0	37.0	37.0	37.0
5	36.41476299744747	37.0	37.0	37.0	37.0	37.0
6	36.38847527591389	37.0	37.0	37.0	37.0	37.0
7	36.31719366125931	37.0	37.0	37.0	37.0	37.0
8	36.408987905603766	37.0	37.0	37.0	37.0	37.0
9	36.40426490810613	37.0	37.0	37.0	37.0	37.0
10-14	36.41344339198407	37.0	37.0	37.0	37.0	37.0
15-19	36.401681879754875	37.0	37.0	37.0	37.0	37.0
20-24	36.39671709653031	37.0	37.0	37.0	37.0	37.0
25-29	36.333713713727576	37.0	37.0	37.0	37.0	37.0
30-34	36.26971164147101	37.0	37.0	37.0	37.0	37.0
35-39	36.227272447700706	37.0	37.0	37.0	37.0	37.0
40-44	36.190735649395876	37.0	37.0	37.0	37.0	37.0
45-49	36.12597013163131	37.0	37.0	37.0	37.0	37.0
50-54	36.127238986349994	37.0	37.0	37.0	37.0	37.0
55-59	36.143753054819925	37.0	37.0	37.0	37.0	37.0
60-64	36.08124191905198	37.0	37.0	37.0	37.0	37.0
65-69	36.050744455625264	37.0	37.0	37.0	37.0	37.0
70-74	36.0094099131886	37.0	37.0	37.0	37.0	37.0
75-79	36.03588167870227	37.0	37.0	37.0	37.0	37.0
80-84	36.02721598623377	37.0	37.0	37.0	37.0	37.0
85-89	36.00104917440944	37.0	37.0	37.0	37.0	37.0
90-94	35.9587695233561	37.0	37.0	37.0	37.0	37.0
95-99	35.928884026237725	37.0	37.0	37.0	37.0	37.0
100-104	35.90929175495809	37.0	37.0	37.0	37.0	37.0
105-109	35.869890341592715	37.0	37.0	37.0	37.0	37.0
110-114	35.827711690398665	37.0	37.0	37.0	37.0	37.0
115-119	35.78504371959347	37.0	37.0	37.0	37.0	37.0
120-124	35.70893381752122	37.0	37.0	37.0	37.0	37.0
125-129	35.639197721580935	37.0	37.0	37.0	37.0	37.0
130-134	35.52423583339867	37.0	37.0	37.0	37.0	37.0
135-139	35.389281315061595	37.0	37.0	37.0	37.0	37.0
140-144	35.24444786497135	37.0	37.0	37.0	32.2	37.0
145-149	35.12389780581175	37.0	37.0	37.0	27.4	37.0
150	35.012986614692295	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1105	6	0.09529887687837402
1105	7	-0.006302549278444758
1105	8	0.03906162109372957
1105	9	0.030978032299159963
1105	10-14	0.020572516171014854
1105	15-19	0.030786239467687437
1105	20-24	-0.014962870796331629
1105	25-29	0.042584168057011595
1105	30-34	-0.019492878308419392
1105	35-39	3.2170652966101443E-4
1105	40-44	-0.01429259496750035
1105	45-49	0.015797671038193073
1105	50-54	0.011785581651068355
1105	55-59	0.0038334823629000425
1105	60-64	0.012799570140089145
1105	65-69	-0.031245488098036844
1105	70-74	-0.054595847044232926
1105	75-79	-0.06435254750756059
1105	80-84	-0.02708944587583062
1105	85-89	-0.040286707813088185
1105	90-94	0.017328385253641443
1105	95-99	-0.0266929882589082
1105	100-104	-0.061225240328901975
1105	105-109	-0.055363957545608855
1105	110-114	-0.04008085179195575
1105	115-119	-0.01929861367499086
1105	120-124	-0.07300948855051814
1105	125-129	-0.09302825064446552
1105	130-134	-0.11838439060178274
1105	135-139	-0.04043843133750613
1105	140-144	-0.17159067679291695
1105	145-149	-0.26324110905376585
1105	150	-0.20538119717713954
1106	1	-0.07291343579208132
1106	2	-0.056316610278827284
1106	3	-0.04290776333058943
1106	4	-0.05412790828314229
1106	5	-0.01943193081204697
1106	6	2.623137567070444E-4
1106	7	-0.045781607958332415
1106	8	0.011421889423552045
1106	9	-0.05774826123599297
1106	10-14	0.001832734103089706
1106	15-19	-0.009839333297655628
1106	20-24	-0.007089307724704952
1106	25-29	-0.04427696519748281
1106	30-34	-0.04448328060377804
1106	35-39	-0.03079875385909503
1106	40-44	-0.05560944887733399
1106	45-49	-0.007728692083396993
1106	50-54	-0.038421141415014404
1106	55-59	-0.043829348313245475
1106	60-64	-0.009395475199745817
1106	65-69	-0.07855382757036722
1106	70-74	-0.11060212398115254
1106	75-79	-0.10503617916161545
1106	80-84	-0.06830984111801541
1106	85-89	-0.10731747122856206
1106	90-94	-0.004389375609598289
1106	95-99	-0.08383154569153817
1106	100-104	-0.14828510621595825
1106	105-109	-0.0809205448908088
1106	110-114	-0.08023558708594436
1106	115-119	-0.068452310951848
1106	120-124	-0.10081206646552943
1106	125-129	-0.14787513292604615
1106	130-134	-0.11951521055287628
1106	135-139	-0.10750816351708892
1106	140-144	-0.15865671191292563
1106	145-149	-0.19423413916459253
1106	150	-0.3193730757426252
1107	1	-0.04225566548421966
1107	2	-0.014528445613940733
1107	3	-0.0071459083107257015
1107	4	-0.014768706019324895
1107	5	0.00516845649860187
1107	6	-0.019521123291944775
1107	7	-0.09374489786728901
1107	8	0.052083164900835754
1107	9	-0.015178304727669456
1107	10-14	0.002719380271173577
1107	15-19	0.010753082916480139
1107	20-24	0.012202714755659372
1107	25-29	0.002630134472404677
1107	30-34	-0.009006416017285801
1107	35-39	-0.00805971841226949
1107	40-44	-0.017663016596948466
