WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
AMR,GUY,Guyana,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
AMR,HTI,Haiti,Rubella,0,0,,0,0,0,0,0,0,0,0,0,11,0,3,2,1,,,,
AMR,HND,Honduras,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,201,1108,399
EUR,HUN,Hungary,Rubella,0,0,0,0,0,0,7,3,0,0,0,0,22,32,36,47,42,65,107,97,
EUR,ISL,Iceland,Rubella,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,,0,0,,
SEAR,IND,India,Rubella,2328,2748,8274,3252,4870,3698,1232,,,,,,,,,,,,,,
SEAR,IDN,Indonesia,Rubella,1767,1264,1238,2156,3542,2355,1020,1959,1323,2090,340,168,105,,,,,,,,
EMR,IRN,Iran (Islamic Republic of),Rubella,33,20,18,45,14,32,30,20,24,11,14,20,,,,,,,1154,,
EMR,IRQ,Iraq,Rubella,21,2,1,2,8,30,22,18,15,167,110,51,72,99,383,,,91,1612,4127,
EUR,IRL,Ireland,Rubella,1,0,,6,3,0,10,6,29,23,42,19,14,17,49,58,31,57,,62,
EUR,ISR,Israel,Rubella,,1,1,1,0,1,1,1,1,6,5,3,4,23,11,7,1,5,54,4,
EUR,ITA,Italy,Rubella,21,31,,16,,,85,84,47,106,4847,429,208,171,363,1424,5830,,2605,1129,
AMR,JAM,Jamaica,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
WPR,JPN,Japan,Rubella,2947,90,126,163,320,14359,2353,369,89,148,303,,509,,2794,2794,2561,3123,3120,,
EMR,JOR,Jordan,Rubella,0,0,0,0,1,1,0,1,0,2,1,3,150,13879,7647,6,1,2,165,443,
EUR,KAZ,Kazakhstan,Rubella,1,0,4,2,152,36,13,44,3,622,3350,2692,2461,8783,15103,18139,30541,29271,14989,7645,
AFR,KEN,Kenya,Rubella,24,14,331,422,651,299,,610,473,1305,1280,387,517,341,1068,811,,204,,,
WPR,KIR,Kiribati,Rubella,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,
EMR,KWT,Kuwait,Rubella,,1,,1,12,4,13,38,26,,,,,75,65,,,,87,146,
EUR,KGZ,Kyrgyzstan,Rubella,8,4,3,100,24,12,6,3,2,14,4,3,11,1,7,5,274,2328,176,385,
WPR,LAO,Lao People's Democratic Republic (the),Rubella,15,10,40,45,2,83,78,169,31,124,45,1,,,,,,,,,
EUR,LVA,Latvia,Rubella,3,0,0,0,1,0,8,2,0,7,9,7,12,35,52,309,2578,358,62,91,
EMR,LBN,Lebanon,Rubella,13,10,10,9,18,27,3,4,5,21,18,32,16,13,120,6,11,1,5,5,
AFR,LSO,Lesotho,Rubella,0,8,11,129,296,516,68,172,,0,0,,4,,,84,,,,0,
AFR,LBR,Liberia,Rubella,82,239,0,0,0,0,39,0,0,30,40,3,,0,0,,,,,,
EMR,LBY,Libya,Rubella,21,7,0,,5,,1,,,3,1,1,1,10,30,,217,26,,,
EUR,LTU,Lithuania,Rubella,1,0,0,0,0,2,0,0,2,0,0,13,110,118,93,170,277,458,1304,,
EUR,LUX,Luxembourg,Rubella,,0,0,0,,0,1,0,0,0,0,0,0,,0,,,,0,,
AFR,MDG,Madagascar,Rubella,53,223,204,89,162,131,110,196,157,193,73,68,127,,,,,,,,
AFR,MWI,Malawi,Rubella,6,26,33,99,433,23,56,267,28,53,105,136,0,51,59,6,6,19,,,
WPR,MYS,Malaysia,Rubella,96,116,68,34,230,1138,789,374,104,,,,,,,,,,,,
SEAR,MDV,Maldives,Rubella,0,1,0,3,0,0,0,1,4,0,,,0,3,,81,,,,,
AFR,MLI,Mali,Rubella,112,19,81,172,19,19,19,125,64,8,33,6,9,18,1,6,,,,,
EUR,MLT,Malta,Rubella,0,0,0,0,0,,,1,0,0,3,2,1,6,0,4,2,0,6,8,
WPR,MHL,Marshall Islands (the),Rubella,,,,,,,0,0,0,0,,0,0,0,,0,0,0,0,0,
AFR,MRT,Mauritania,Rubella,1,,0,5,49,61,,,,,10,0,0,,,,,,,,
AFR,MUS,Mauritius,Rubella,,0,0,5,6,10,9,4,2,2,3,6,3,3,,,,,0,,
AMR,MEX,Mexico,Rubella,2,0,0,0,0,0,2,0,0,0,46,102,74,38,699,35,3685,4843,11751,17180,51846
WPR,FSM,Micronesia (Federated States of),Rubella,0,0,0,0,0,,,,,0,,0,0,0,0,0,,0,,0,
EUR,MCO,Monaco,Rubella,,,,,,,,,,,,,,,,5,,,,,
WPR,MNG,Mongolia,Rubella,1,11,48,28,1,8,240,13,11,3,167,6363,1229,6,36,13,148,1869,1550,3,
EUR,MNE,Montenegro,Rubella,,0,0,,,0,0,0,3,0,0,0,0,,,,,,,,
EMR,MAR,Morocco,Rubella,8,,,6,0,59,3,8,5,,,,,,,,,,,,
AFR,MOZ,Mozambique,Rubella,117,102,,,210,127,428,143,70,69,166,,,,,,,,,,
SEAR,MMR,Myanmar,Rubella,13,6,10,34,30,23,21,103,11,13,5,2,0,0,,,,,,,
AFR,NAM,Namibia,Rubella,5,29,37,625,357,40,42,140,22,27,0,0,9,103,874,209,1100,1272,,,
WPR,NRU,Nauru,Rubella,,,,,,,,0,,0,0,0,0,,0,,0,0,0,,
SEAR,NPL,Nepal,Rubella,34,21,656,626,704,755,801,1175,510,1275,781,227,,,,,,,,,
EUR,NLD,Netherlands (the),Rubella,0,0,0,1,2,58,1,2,0,8,2,1,11,364,46,1,3,,12,3,
WPR,NZL,New Zealand,Rubella,1,0,3,0,4,1,4,22,2,2,,10,8,13,25,28,33,26,26,37,
AMR,NIC,Nicaragua,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6,5,133,219,326,393,255
AFR,NER,Niger (the),Rubella,21,10,24,33,8,6,77,19,5,11,55,10,10,,131,,,,,,
AFR,NGA,Nigeria,Rubella,4772,543,503,419,102,88,239,3691,450,234,422,466,,,,,,,,,
WPR,NIU,Niue,Rubella,,,,,,0,0,0,0,0,0,0,,0,0,40,0,0,0,0,
EUR,MKD,North Macedonia,Rubella,,0,,1,0,0,4,8,3,11,14,19,28,31,33,52,61,,87,120,
EUR,NOR,Norway,Rubella,0,0,0,0,3,3,1,2,0,0,1,,2,1,2,1,1,0,4,,
EMR,OMN,Oman,Rubella,0,2,6,0,,0,13,1,2,19,4,16,11,22,9,1,3,58,3,5,
EMR,PAK,Pakistan,Rubella,328,389,648,282,320,1113,483,189,,,,,,,,,,,,,
WPR,PLW,Palau,Rubella,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,
AMR,PAN,Panama,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,322,580,941,1783
WPR,PNG,Papua New Guinea,Rubella,3,1,1,4,84,5,33,19,5,19,4,4,,,,,,,,,
AMR,PRY,Paraguay,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,1,9,96,32,73
AMR,PER,Peru,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,727,3672,1759,328,420,1126,,88,712
WPR,PHL,Philippines (the),Rubella,129,2111,179,154,264,254,100,926,,578,280,,,0,25,,,1712,,21,
EUR,POL,Poland,Rubella,437,476,1105,,,38546,6263,,4196,7586,,22890,20668,7946,4857,10588,40518,84419,46181,30958,
EUR,PRT,Portugal,Rubella,1,4,7,0,3,0,3,0,0,3,4,6,9,227,8,14,29,,58,57,
EMR,QAT,Qatar,Rubella,0,2,20,7,20,58,20,16,23,14,,26,34,36,,35,21,17,16,,
WPR,KOR,Republic of Korea (the),Rubella,0,4,11,3,11,17,27,53,21,37,31,35,18,12,15,8,12,131,153,,
EUR,MDA,Republic of Moldova (the),Rubella,0,0,0,0,0,0,3,0,0,1,1,3,14,32,170,508,7311,4508,2803,6474,
EUR,ROU,Romania,Rubella,9,9,13,8,30,145,20812,3494,350,343,1746,2958,3563,6801,47444,120377,11079,5076,5125,7076,
EUR,RUS,Russian Federation (the),Rubella,5,5,38,25,72,233,1003,349,547,1602,9618,30846,133289,144985,146220,125187,341345,574901,457378,585063,
AFR,RWA,Rwanda,Rubella,11,22,15,1,15,50,172,62,36,34,35,14,25,31,,10,0,,,0,
AMR,KNA,Saint Kitts and Nevis,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AMR,LCA,Saint Lucia,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AMR,VCT,Saint Vincent and the Grenadines,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
WPR,WSM,Samoa,Rubella,0,2,,,,,0,1,0,0,,,0,0,0,1909,,0,,,
EUR,SMR,San Marino,Rubella,0,0,0,,,,0,0,0,0,48,5,0,1,1,0,,,11,,
AFR,STP,Sao Tome and Principe,Rubella,0,0,0,3,,,,,,0,0,0,0,0,0,0,0,0,0,,
EMR,SAU,Saudi Arabia,Rubella,53,61,,4,23,1164,18,,35,12,15,32,23,18,22,22,12,38,,299,
AFR,SEN,Senegal,Rubella,8,7,135,15,101,44,44,141,50,55,161,81,24,12,242,29,,,,,
EUR,SRB,Serbia,Rubella,5,5,5,10,2,11,14,14,14,27,23,41,77,153,303,332,626,1333,2188,1498,
AFR,SYC,Seychelles,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
AFR,SLE,Sierra Leone,Rubella,16,358,97,10,,,,54,2,,44,9,6,,1,4,,,,,
WPR,SGP,Singapore,Rubella,17,15,,,,48,64,110,158,178,181,83,90,139,141,88,152,242,312,432,
EUR,SVK,Slovakia,Rubella,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,1,7,2,11,61,
EUR,SVN,Slovenia,Rubella,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,3,8,,,
WPR,SLB,Solomon Islands,Rubella,0,0,,,,0,,0,0,0,0,0,0,,,,0,0,,,
EMR,SOM,Somalia,Rubella,,,,,1,,,,,,,,,,,,,,,,
AFR,ZAF,South Africa,Rubella,1213,1876,819,54,10,103,2298,3266,,2975,,1072,,428,612,2089,208,,541,,
AFR,SSD,South Sudan,Rubella,106,72,,47,0,,20,,,,,,,,,,,,,,
EUR,ESP,Spain,Rubella,12,1,2,3,5,2,64,30,9,20,70,69,87,592,,115,143,,345,534,
SEAR,LKA,Sri Lanka,Rubella,0,1,0,9,10,24,54,416,68,143,79,5,2,16,6,34,,104,29,110,
EMR,SDN,Sudan (the),Rubella,349,259,996,1052,817,291,191,237,345,338,150,163,255,,,,,,,,
AMR,SUR,Suriname,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,90
EUR,SWE,Sweden,Rubella,0,0,0,0,0,0,50,4,3,1,0,2,2,0,0,0,1,3,1,,
EUR,CHE,Switzerland,Rubella,2,1,0,3,4,6,10,9,12,35,12,,,,,,,1200,,1400,
EMR,SYR,Syrian Arab Republic (the),Rubella,6,1,1,0,5,1,1,7,20,2,5,0,30,4,47,112,1,11,2,648,
EUR,TJK,Tajikistan,Rubella,0,3,2,1,0,0,1,0,6,179,124,705,46,1231,567,681,654,54,111,385,
SEAR,THA,Thailand,Rubella,64,34,7,240,152,539,493,517,387,594,621,341,498,382,379,490,667,879,1136,856,
SEAR,TLS,Timor-Leste,Rubella,8,3,8,5,1,0,8,0,,2,0,0,,0,,,,,,,
AFR,TGO,Togo,Rubella,41,37,276,,16,38,33,69,80,87,136,7,0,86,142,295,334,,,,
WPR,TON,Tonga,Rubella,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
AMR,TTO,Trinidad and Tobago,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
EMR,TUN,Tunisia,Rubella,22,11,19,25,17,15,615,1075,164,98,156,51,5,11,15,,,1012,,,
EUR,TUR,Turkey,Rubella,22,1,7,16,31,81,43,1734,64,97,139,644,1058,2245,,,,,,,
EUR,TKM,Turkmenistan,Rubella,0,0,0,0,0,0,0,0,0,0,0,15,,498,26,18,29,32,129,581,
WPR,TUV,Tuvalu,Rubella,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFR,UGA,Uganda,Rubella,470,259,289,1055,291,7878,2027,3312,,,,605,,285,428,125,60,,,,
EUR,UKR,Ukraine,Rubella,235,160,150,248,,,1952,3667,2333,,3495,5822,15106,22248,31606,20201,162927,79373,37931,105137,
EMR,ARE,United Arab Emirates (the),Rubella,12,38,132,177,14,,30,,34,,70,,,43,10,60,29,59,52,92,
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the),Rubella,3,15,2,3,1,13,70,5,31,22,31,31,30,35,17,34,72,43,75,,
AFR,TZA,United Republic of Tanzania,Rubella,34,28,24,45,529,116,55,18,121,0,0,,87,151,234,109,175,,,,
AMR,USA,United States of America (the),Rubella,,7,1,5,6,9,9,4,5,3,16,12,11,11,10,7,18,23,176,267,364
AMR,URY,Uruguay,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3
EUR,UZB,Uzbekistan,Rubella,0,0,0,0,0,0,,23,1,6,24,202,304,440,498,1810,1196,595,454,2447,
WPR,VUT,Vanuatu,Rubella,0,,,,,,,,,,,,,,,,0,0,,,
AMR,VEN,Venezuela (Bolivarian Republic of),Rubella,0,0,0,0,0,0,0,0,0,0,0,62,188,823,96,36,3662,9014,13927,11391,30353
WPR,VNM,Viet Nam,Rubella,112,77,413,798,59,54,185,7259,2300,1573,873,3530,3403,3012,,,,,,,
EMR,YEM,Yemen,Rubella,712,41,56,162,1598,706,199,337,187,225,187,165,302,230,,,,,,,
AFR,ZMB,Zambia,Rubella,2,16,34,94,74,183,134,1124,13,,257,93,0,165,157,0,,,,,
AFR,ZWE,Zimbabwe,Rubella,3,4,2,0,1130,130,20,447,,28,63,242,,,,,,,,,
