WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
EMR,LBN,Lebanon,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AFR,LSO,Lesotho,CRS,0,0,0,0,0,0,0,0,0,,,,0,,,0,,,,0,
AFR,LBR,Liberia,CRS,0,,,0,0,0,0,0,,0,,,,0,,,,,,,
EMR,LBY,Libya,CRS,0,,,,,,,,,,0,0,0,0,,,,,,,
EUR,LTU,Lithuania,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
EUR,LUX,Luxembourg,CRS,,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,,
AFR,MDG,Madagascar,CRS,,,,,,,,0,0,,,,,,,,,,,,
AFR,MWI,Malawi,CRS,0,0,0,0,0,0,,,,,,,,,0,,,,,,
WPR,MYS,Malaysia,CRS,,,,,,4,1,,0,,,,,,,,,,,,
SEAR,MDV,Maldives,CRS,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
AFR,MLI,Mali,CRS,,,,,,,,,,,,,,,,,,,,,
EUR,MLT,Malta,CRS,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,
WPR,MHL,Marshall Islands (the),CRS,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,,
AFR,MRT,Mauritania,CRS,0,,0,0,,,0,,,,,,,,,,,,,,
AFR,MUS,Mauritius,CRS,,0,,2,1,0,1,0,0,0,0,0,3,,,,,,0,,
AMR,MEX,Mexico,CRS,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,9,1,,5,1,
WPR,FSM,Micronesia (Federated States of),CRS,0,0,0,0,0,,,,,0,,0,0,0,0,0,,0,0,0,
EUR,MCO,Monaco,CRS,0,,,,,,,,,,,,,,,0,,,,,
WPR,MNG,Mongolia,CRS,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3,0,,
EUR,MNE,Montenegro,CRS,,0,0,,,0,,,,,,,,,,,,,,,
EMR,MAR,Morocco,CRS,,,,,0,,,,,,,,,,,,,,,,
AFR,MOZ,Mozambique,CRS,,0,,0,,,,,,,0,0,,,,,,,,,
SEAR,MMR,Myanmar,CRS,8,0,,,,,,,,,,,0,,,,,,,,
AFR,NAM,Namibia,CRS,,,,0,0,,,0,0,0,0,0,,,,0,,,,,
WPR,NRU,Nauru,CRS,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,1,
SEAR,NPL,Nepal,CRS,0,0,33,50,16,,,,,,,,,,,,,,,,
EUR,NLD,Netherlands (the),CRS,0,0,0,0,0,0,0,0,,0,0,0,0,4,,,0,,,,
WPR,NZL,New Zealand,CRS,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
AMR,NIC,Nicaragua,CRS,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,1,0,,1
AFR,NER,Niger (the),CRS,,0,,,,0,0,,0,,,,,,,,,,,,
AFR,NGA,Nigeria,CRS,,,,,,,,0,,,,,,,,,,,,,
WPR,NIU,Niue,CRS,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
EUR,MKD,North Macedonia,CRS,,,,,,,,,,,,,,,,,0,,0,0,
EUR,NOR,Norway,CRS,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,
EMR,OMN,Oman,CRS,0,0,0,0,,0,0,0,0,0,1,0,1,0,,0,0,0,0,0,
EMR,PAK,Pakistan,CRS,29,,,,,,,,,,,,,,,,,,,,
WPR,PLW,Palau,CRS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,
AMR,PAN,Panama,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
WPR,PNG,Papua New Guinea,CRS,0,0,1,0,0,,,,,,,,,,,,,,,,
AMR,PRY,Paraguay,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0
AMR,PER,Peru,CRS,0,0,0,0,0,0,0,0,0,0,0,2,12,7,1,1,1,0,3,,
WPR,PHL,Philippines (the),CRS,,,,,,,,,,,,172,,0,,,,,,,
EUR,POL,Poland,CRS,0,0,0,,,2,0,,1,1,,1,0,0,0,0,2,3,1,1,
EUR,PRT,Portugal,CRS,0,0,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,1,
EMR,QAT,Qatar,CRS,0,0,0,0,0,0,1,0,0,0,,0,0,0,,0,0,0,0,,
WPR,KOR,Republic of Korea (the),CRS,0,1,0,0,0,1,1,,0,,,,,,,0,,,,,
