WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,TCD,Chad,ntetanus,189,47,172,195,154,176,225,215,279,146,163,100,161,191,232,353,446,475,142,212,652,844,514,555,606,610,529,546,738,729,925,1043,316,149,183,115,625,,
AMR,CHL,Chile,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,2,0,3,5,3,3,0,0,8,12,0,0
WPR,CHN,China,ntetanus,83,93,177,306,426,492,674,,1057,1412,1786,2112,2519,2761,2954,2245,2136,2608,3230,3616,3777,3962,2543,,,,,,,,,,,,,,,,
AMR,COL,Colombia,ntetanus,5,4,2,3,2,0,2,2,2,4,3,4,4,9,8,7,12,15,10,19,21,24,26,35,61,77,86,99,133,135,193,203,211,252,294,306,87,61,0
AFR,COM,Comoros (the),ntetanus,1,0,0,0,0,0,,0,2,3,3,1,0,1,0,0,0,,,2,0,0,1,2,9,17,17,17,6,7,10,17,17,,,,,,
AFR,COG,Congo (the),ntetanus,0,0,0,9,2,5,2,0,2,2,3,3,20,12,14,9,8,8,2,3,,0,7,5,9,6,14,15,18,9,9,40,21,2,24,1,0,38,80
WPR,COK,Cook Islands,ntetanus,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AMR,CRI,Costa Rica,ntetanus,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,1,2
AFR,CIV,Côte d'Ivoire,ntetanus,17,11,3,9,12,15,9,3,3,8,15,31,32,2,14,12,20,19,30,83,95,241,351,311,,300,276,350,364,433,608,448,578,,,,,,
EUR,HRV,Croatia,ntetanus,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,,,,,,,,,,
AMR,CUB,Cuba,ntetanus,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,CYP,Cyprus,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,CZE,Czech Republic,ntetanus,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6,0,2,3,4,0,3,1,0,1,4,,,,,,,,
AFR,COD,Democratic Republic of the Congo (the),ntetanus,47,253,80,330,201,,1252,888,990,731,737,379,717,1524,721,465,1083,1176,77,448,343,107,194,83,306,95,47,272,120,135,175,168,146,208,235,206,252,103,
EUR,DNK,Denmark,ntetanus,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMR,DJI,Djibouti,ntetanus,0,,,,,,0,,0,0,0,0,1,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,0,0,,7,,
AMR,DMA,Dominica,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,DOM,Dominican Republic (the),ntetanus,0,1,2,1,0,0,1,2,0,1,2,2,4,4,5,4,1,0,4,1,0,0,0,1,1,0,5,4,12,13,33,7,8,12,15,19,6,10,14
AMR,ECU,Ecuador,ntetanus,0,1,1,1,0,0,1,2,2,5,2,2,4,6,12,7,9,8,6,14,24,25,36,51,58,81,71,80,88,58,126,80,74,91,80,67,66,47,28
EMR,EGY,Egypt,ntetanus,2,7,2,6,,9,6,20,20,11,36,34,46,58,71,116,176,194,321,383,471,482,643,790,993,1277,1830,2728,3275,3448,6554,6901,7256,6633,5967,6044,5224,3708,2965
AMR,SLV,El Salvador,ntetanus,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,3,3,0,2,5,3,9,18,25,18,25,25,33,26,39,52,54,38,92,88,61
AFR,GNQ,Equatorial Guinea,ntetanus,6,4,5,1,0,0,0,3,0,2,4,1,1,0,2,1,0,2,,,,0,2,0,5,4,1,34,3,34,45,33,2,8,8,,,,
AFR,LSO,Lesotho,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,0,0,0,0,0,1,0,0,0,0,1,1,3,10,0,
AFR,LBR,Liberia,ntetanus,14,22,6,2,0,0,12,3,4,4,8,13,22,13,1,40,21,43,152,174,166,84,74,24,59,119,38,,,,,,,,,,,,207
