WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,EGY,Egypt,ttetanus,,,,,8,9,,264,,11,189,34,60,,,523,673,732,597,996,1198,1425,1390,1097,1636,2253,2827,4228,4952,7194,8624,9287,9995,9286,8559,10381,8393,7128,6644
AMR,SLV,El Salvador,ttetanus,4,0,2,6,6,4,7,9,2,10,1,6,5,7,7,6,7,7,13,7,12,4,10,13,10,18,30,,,,50,40,43,52,62,44,92,88,98
AFR,GNQ,Equatorial Guinea,ttetanus,6,,0,1,0,0,0,3,0,2,4,1,1,0,2,1,0,2,,,,0,2,,,,,,,,,33,2,,28,,,,
AFR,ERI,Eritrea,ttetanus,0,0,1,7,,0,19,17,16,49,8,,1,6,15,17,10,9,11,21,4,1,2,1,,,,,,,,,,,,,,,
EUR,EST,Estonia,ttetanus,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,5,2,1,1,1,,,,,,,,,,,
AFR,SWZ,Eswatini,ttetanus,0,0,1,0,0,0,0,1,1,,0,0,1,0,0,0,0,,0,0,0,0,1,,,,,6,3,25,595,174,154,230,156,38,378,,
AFR,ETH,Ethiopia,ttetanus,14,,18,0,,16,,33,75,50,66,62,,57,,,,,,480,365,,293,235,,,,,140,456,210,704,738,649,711,816,2724,668,409
WPR,FJI,Fiji,ttetanus,,,,,,,,,0,0,0,0,0,0,,0,0,2,,,,0,0,0,,0,,,1,3,1,1,2,1,1,0,1,0,1
EUR,FIN,Finland,ttetanus,0,0,,0,,,,,,,,,,,,,,,,,,0,1,0,0,2,2,2,0,0,0,,0,5,6,11,11,12,4
EUR,FRA,France,ttetanus,,4,4,,,10,,9,14,8,8,8,16,,26,26,17,,26,,,19,39,24,40,61,55,43,33,63,72,106,88,124,114,120,142,158,208
AFR,GAB,Gabon,ttetanus,0,,,,,0,2,,3,5,6,,3,0,,,3,14,,,,,0,,,17,19,,22,34,21,26,23,42,20,59,290,5,12
AFR,GMB,Gambia,ttetanus,3,1,0,0,0,0,0,2,0,0,0,0,0,6,3,3,3,0,2,1,,,,,,,,,,,,,,889,,,,115,567
EUR,GEO,Georgia,ttetanus,7,5,5,4,7,2,6,5,7,3,4,7,3,2,7,7,13,8,6,3,5,6,5,3,0,5,3,2,,,,,,,,,,,
EUR,DEU,Germany,ttetanus,,,,,,,,,,,,,,,,,,,8,,7,11,17,11,14,16,14,16,18,13,16,15,28,18,21,22,25,22,21
AFR,GHA,Ghana,ttetanus,270,538,1214,0,1,1,456,,79,256,69,1027,46,44,,85,213,233,219,185,,,374,,404,522,536,559,660,705,619,1059,736,754,600,731,896,897,1045
EUR,GRC,Greece,ttetanus,4,2,3,6,2,1,7,11,5,2,7,10,,7,5,,3,4,16,,,2,7,4,5,4,3,5,16,5,2,3,4,9,32,25,31,30,15
AMR,GRD,Grenada,ttetanus,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,5,2,1,0,3,3,3
AMR,GTM,Guatemala,ttetanus,0,3,0,0,2,2,0,2,2,4,2,3,8,6,3,5,3,7,11,2,6,8,12,9,18,19,32,15,60,103,110,143,64,101,113,87,85,80,60
AFR,GIN,Guinea,ttetanus,326,103,113,,75,51,,64,,54,28,27,161,166,,,518,332,245,287,272,280,289,,,,,,524,428,234,682,568,108,289,483,740,832,482
AFR,GNB,Guinea-Bissau,ttetanus,0,0,0,0,0,0,0,0,1,5,11,8,14,,19,28,24,49,,21,,7,8,,,,,79,45,109,88,155,254,229,324,289,203,229,221
AMR,GUY,Guyana,ttetanus,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,1010,0,1010,5,2,0,,,0,0,0,0,6,2,4,7,7,4,8,11,20
