WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,MLI,Mali,polio,0,0,0,0,0,0,0,7,4,2,1,0,0,3,19,0,0,0,0,22,14,2,15,26,19,26,63,145,63,178,121,170,302,271,83,57,112,276,234
EUR,MLT,Malta,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPR,MHL,Marshall Islands (the),polio,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AFR,MRT,Mauritania,polio,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,1,0,7,0,5,0,5,14,16,25,52,7,19,17,69,101,141,78,55,18,9,159
AFR,MUS,Mauritius,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,MEX,Mexico,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,23,77,66,148,137,232,98,186,682
WPR,FSM,Micronesia (Federated States of),polio,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,
EUR,MCO,Monaco,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
WPR,MNG,Mongolia,polio,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,,7,2,7,15,74,0,0
EUR,MNE,Montenegro,polio,,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,12,15,22,49,89,58,52
AFR,MOZ,Mozambique,polio,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,7,4,0,0,0,1,3,3,1,0,7,1,7,26,31,28,47,42,65
SEAR,MMR,Myanmar,polio,0,0,0,2,0,0,0,0,0,0,0,15,1,0,0,0,0,0,44,50,41,55,8,18,27,52,47,58,47,50,60,67,91,109,166,215,304,287,244
AFR,NAM,Namibia,polio,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,2,2,8,15,4,53,0,0,0,1,,,,,,,,,
WPR,NRU,Nauru,polio,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0
SEAR,NPL,Nepal,polio,0,0,0,0,0,0,0,0,6,0,6,5,5,4,0,0,0,0,29,42,31,12,9,9,2,2,3,12,6,34,9,7,10,30,76,66,66,9,52
EUR,NLD,Netherlands (the),polio,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,64,0,0,0,0,0,0,0,1,1,0,1,0
WPR,NZL,New Zealand,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,NIC,Nicaragua,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,21
AFR,NER,Niger (the),polio,10,0,0,0,0,1,1,6,3,17,12,11,13,10,25,40,3,6,33,56,8,56,40,40,62,41,40,57,32,19,33,24,30,146,184,201,175,279,311
AFR,NGA,Nigeria,polio,34,0,5,1,36,57,130,96,48,543,866,356,1144,833,782,355,202,56,638,981,312,383,942,439,502,1083,957,842,1873,455,1460,606,453,959,625,392,395,335,816
WPR,NIU,Niue,polio,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,MKD,North Macedonia,polio,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
