WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
SEAR,IDN,Indonesia,pertussis,40,1043,826,,2082,2976,,1941,,973,,,3356,8897,1547,4364,2113,1025,142,287,,6934,9041,8772,12292,13130,15177,16112,30014,41831,26670,16,121,1045,1257,626,9507,24764,32999
EMR,IRN,Iran (Islamic Republic of),pertussis,335,14,116,145,115,1415,1329,650,464,590,605,267,89,125,98,81,21,112,94,24,20,50,80,45,15,34,350,628,1230,2699,3327,6123,7829,11519,13178,15055,29956,22521,20395
EMR,IRQ,Iraq,pertussis,978,1458,1014,529,1606,2471,2314,2019,2034,5471,2311,3140,3128,1050,78249,,,2922,407,466,1366,578,1247,483,534,767,1601,2309,122,368,200,316,798,2768,8518,4001,2584,3477,16687
EUR,IRL,Ireland,pertussis,117,264,,118,73,175,458,229,107,80,102,78,62,84,90,40,131,142,,179,252,459,261,436,353,869,860,843,803,2217,1170,1717,1482,3689,3061,1728,1073,997,547
EUR,ISR,Israel,pertussis,,467,1143,5338,1509,1394,2730,2345,1244,1182,2169,2635,1495,357,1653,970,550,570,452,336,83,88,126,57,52,138,99,35,155,260,11,96,73,24,7,78,62,25,19
EUR,ITA,Italy,pertussis,162,510,,,,,225,302,187,315,174,474,545,403,763,840,1953,,2543,3797,3632,3364,3895,14359,13360,4246,7055,19356,16992,6524,9535,30325,17154,15678,12493,25759,16377,7165,16643
AMR,JAM,Jamaica,pertussis,0,0,0,0,0,2,2,1,0,0,0,0,1,8,5,5,2,7,23,12,1,4,22,7,5,0,0,16,3,0,7,20,16,5,27,65,354,18,13
WPR,JPN,Japan,pertussis,12103,1661,3011,2675,2066,1663,4087,4395,5406,5208,6753,,1504,,1534,1534,11740,3804,3787,,42,,183,,,131,,821,583,229,499,909,1037,938,1114,2459,2532,3368,5033
EMR,JOR,Jordan,pertussis,4,7,8,0,5,3,4,0,0,6,0,1,1,1,4,3,2,3,5,1,3,4,6,4,2,10,16,2,4,12,38,13,36,35,101,85,106,55,437
EUR,KAZ,Kazakhstan,pertussis,97,44,32,74,23,14,43,66,35,39,45,69,120,222,57,12,30,71,87,56,66,268,249,504,685,665,1117,562,395,,,,,,,,,,
