WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,KWT,Kuwait,yfever,,,,,,0,0,0,0,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,
EUR,KGZ,Kyrgyzstan,yfever,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),yfever,0,0,0,,,,0,,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,
EUR,LVA,Latvia,yfever,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
EMR,LBN,Lebanon,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
AFR,LSO,Lesotho,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,
AFR,LBR,Liberia,yfever,1,1,0,1,1,0,17,0,1,1,1,0,26,41,4,54,74,158,137,,25,3,,360,,,,,,,,,,,,,,,
EMR,LBY,Libya,yfever,0,,,,,,0,,,0,0,0,0,0,,,,0,,,0,,,,,,,,,,,,,,,,,,
EUR,LTU,Lithuania,yfever,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
EUR,LUX,Luxembourg,yfever,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,
AFR,MDG,Madagascar,yfever,,,,,,,,0,0,0,,,,,,,0,0,,0,,0,,,,,,,,,,,,,,,,,
AFR,MWI,Malawi,yfever,0,0,0,0,0,0,,,,,,,,,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,
WPR,MYS,Malaysia,yfever,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
SEAR,MDV,Maldives,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,,,,,,,,,,,,,,,,,,
AFR,MLI,Mali,yfever,225,0,0,10,1,0,0,0,3,4,0,1,0,43,1,0,0,0,0,0,0,0,0,,,,,,,,,305,,,,,,,
EUR,MLT,Malta,yfever,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
WPR,MHL,Marshall Islands (the),yfever,,,,,,,0,0,0,0,,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,
AFR,MRT,Mauritania,yfever,0,,0,0,,0,0,,,,0,0,0,,0,10,0,0,,,0,0,,,,,,,,,,21,,,,,,,
AFR,MUS,Mauritius,yfever,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,
AMR,MEX,Mexico,yfever,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
WPR,FSM,Micronesia (Federated States of),yfever,0,0,0,0,0,,,,0,0,,0,0,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,
EUR,MCO,Monaco,yfever,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
WPR,MNG,Mongolia,yfever,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
EUR,MNE,Montenegro,yfever,,0,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,yfever,,,,,,,,0,,,,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,
AFR,MOZ,Mozambique,yfever,,0,,0,,,,,,,0,0,,,,,,0,0,,,0,,,,,,,,,,,,,,,,,
SEAR,MMR,Myanmar,yfever,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,
AFR,NAM,Namibia,yfever,0,0,0,0,0,,,0,0,0,3,0,,,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,
WPR,NRU,Nauru,yfever,,,,,,,,0,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,
SEAR,NPL,Nepal,yfever,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
EUR,NLD,Netherlands (the),yfever,1,0,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
WPR,NZL,New Zealand,yfever,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
AMR,NIC,Nicaragua,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
AFR,NER,Niger (the),yfever,0,0,0,0,0,0,0,20,0,0,0,,0,,0,0,0,0,0,0,0,0,,0,,,,0,,0,,0,,,,,,,
AFR,NGA,Nigeria,yfever,47,26,0,0,0,0,0,387,0,0,0,0,,,,,0,5,0,,0,7,0,,1227,152,149,2561,4075,3270,5067,2676,1318,6,898,15,,,8
WPR,NIU,Niue,yfever,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
EUR,MKD,North Macedonia,yfever,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,
EUR,NOR,Norway,yfever,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
EMR,OMN,Oman,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
EMR,PAK,Pakistan,yfever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,PLW,Palau,yfever,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,
AMR,PAN,Panama,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
WPR,PNG,Papua New Guinea,yfever,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,PRY,Paraguay,yfever,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,
AMR,PER,Peru,yfever,10,9,62,24,17,21,9,13,18,8,15,27,63,66,67,26,51,28,6,58,165,44,86,499,61,89,67,27,17,120,195,179,118,59,28,27,19,98,30
WPR,PHL,Philippines (the),yfever,,,,,,,,,,0,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,
EUR,POL,Poland,yfever,0,0,0,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
EUR,PRT,Portugal,yfever,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
EMR,QAT,Qatar,yfever,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
WPR,KOR,Republic of Korea (the),yfever,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,,,,,,,,,,,,,,,,
EUR,MDA,Republic of Moldova (the),yfever,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,
