WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
EUR,NLD,Netherlands (the),Mumps,73,46,71,88,39,204,398,610,562,73,,,,,,,,,,,
WPR,NZL,New Zealand,Mumps,442,1337,20,13,18,23,26,52,14,21,,75,48,62,45,57,64,50,50,56,
AMR,NIC,Nicaragua,Mumps,3,2,82,29,44,35,4,1,52,103,108,141,151,219,0,242,261,321,1081,,
AFR,NER,Niger (the),Mumps,,0,0,,0,0,0,,0,,,,,,,,,,,,
AFR,NGA,Nigeria,Mumps,,,,,,,,0,,,,,,,,,,,,,
WPR,NIU,Niue,Mumps,,0,,,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,
EUR,MKD,North Macedonia,Mumps,,32,45,52,,60,97,111,242,10920,5865,284,49,125,69,77,109,87,441,316,
EUR,NOR,Norway,Mumps,11,18,83,181,18,35,30,16,12,12,16,,24,8,7,,5,6,1,,
EMR,OMN,Oman,Mumps,151,153,112,588,202,163,679,121,575,635,995,73,1127,856,829,1664,2497,3661,10443,12628,
EMR,PAK,Pakistan,Mumps,,,,,,,,,,,,,,,,,,,,,
WPR,PLW,Palau,Mumps,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,
AMR,PAN,Panama,Mumps,,47,110,132,108,165,134,111,81,154,0,207,205,203,112,112,,482,303,,
WPR,PNG,Papua New Guinea,Mumps,0,,,,,,,,,,,,,,,,,,,,
AMR,PRY,Paraguay,Mumps,1626,1090,286,178,147,172,247,283,132,83,70,140,234,148,194,544,2263,1002,527,782,
AMR,PER,Peru,Mumps,0,,,,0,0,,0,0,0,0,,0,,0,0,0,0,,,
WPR,PHL,Philippines (the),Mumps,,,,5,,,,,,,,,,0,,,,,,,
EUR,POL,Poland,Mumps,1585,1670,1978,,,2436,2779,,2754,2954,,4147,15115,71945,135179,87336,39978,16724,17548,90214,
EUR,PRT,Portugal,Mumps,106,179,138,1,4,162,158,134,140,154,140,191,193,4,219,231,298,,6493,3153,
EMR,QAT,Qatar,Mumps,224,21,20,21,13,289,382,368,151,407,,223,185,140,,96,80,69,65,,
WPR,KOR,Republic of Korea (the),Mumps,19237,1121,,,,17022,7147,6241,6104,6524,4474,4569,2090,1860,1744,1518,281,1668,3057,,
EUR,MDA,Republic of Moldova (the),Mumps,127,78,109,70,51,60,131,143,144,292,29783,1757,296,368,424,,1579,2556,1942,3198,
EUR,ROU,Romania,Mumps,119,315,644,446,107,98,163,195,286,941,2302,5291,14519,59893,64427,48210,38827,41205,26542,51385,
