Sample	Gene	gene_symbol	count	Status
DF_927_1_GFP	Dennd6a	Dennd6a	1975.06831823192	AT2
DF_927_1_GFP	Hps1	Hps1	947.371286616031	AT2
DF_927_1_GFP	4930432K21Rik	4930432K21Rik	61.4255697057776	AT2
DF_927_1_GFP	Grin2d	Grin2d	210.2644501467	AT2
DF_927_1_GFP	Rac2	Rac2	209.08318919082	AT2
DF_927_1_GFP	Dnajc14	Dnajc14	4205.289002934	AT2
DF_927_1_GFP	Nos1ap	Nos1ap	249.246061690751	AT2
DF_927_1_GFP	G3bp2	G3bp2	6233.51406418054	AT2
DF_927_1_GFP	Calm3	Calm3	9688.70236013053	AT2
DF_927_1_GFP	Rbck1	Rbck1	5790.54120572542	AT2
DF_927_1_GFP	Fam65b	Fam65b	61.4255697057776	AT2
DF_927_1_GFP	Ccdc94	Ccdc94	708.756573528203	AT2
DF_927_1_GFP	Cdk4	Cdk4	9391.02459924869	AT2
DF_927_1_GFP	B2m	B2m	11081.4090271134	AT2
DF_927_1_GFP	Aldh3a2	Aldh3a2	9824.54737005677	AT2
DF_927_1_GFP	Fam229b	Fam229b	9.4500876470427	AT2
DF_927_1_GFP	Gm5523	Gm5523	28.3502629411281	AT2
DF_927_1_GFP	0610011F06Rik	0610011F06Rik	2160.52628830514	AT2
DF_927_1_GFP	Cog8	Cog8	2027.04380029066	AT2
DF_927_1_GFP	0610010K14Rik	0610010K14Rik	1484.84502154158	AT2
DF_927_1_GFP	Rpl30	Rpl30	5.90630477940169	AT2
DF_927_1_GFP	Abcf3	Abcf3	2803.13224830404	AT2
DF_927_1_GFP	Hgfac	Hgfac	197.270579632016	AT2
DF_927_1_GFP	Gas2l1	Gas2l1	3402.03155293537	AT2
DF_927_1_GFP	Pcdhb10	Pcdhb10	8.26882669116236	AT2
DF_927_1_GFP	Itm2c	Itm2c	18372.1516468069	AT2
DF_927_1_GFP	Fam71a	Fam71a	18.9001752940854	AT2
DF_927_1_GFP	Braf	Braf	3364.2312023472	AT2
DF_927_1_GFP	Ap4b1	Ap4b1	825.701408160356	AT2
DF_927_1_GFP	Dennd4b	Dennd4b	313.034153308289	AT2
DF_927_1_GFP	Gpr88	Gpr88	21.2626972058461	AT2
DF_927_1_GFP	Imp4	Imp4	1744.72243183526	AT2
DF_927_1_GFP	G0s2	G0s2	1242.68652558612	AT2
DF_927_1_GFP	Ccng2	Ccng2	2296.37129823138	AT2
