"Notes"	"County"	"County Code"	Deaths	Births	Death Rate
	"Greenville County, SC"	"45045"	429	70997	6.04
	"Horry County, SC"	"45051"	85	12509	6.80
	"Lexington County, SC"	"45063"	87	12881	6.75
	"Richland County, SC"	"45079"	394	53866	7.31
	"Spartanburg County, SC"	"45083"	234	40666	5.75
	"Unidentified Counties, SC"	"45999"	3132	401278	7.81
	"Unidentified Counties, SD"	"46999"	907	133304	6.80
	"Davidson County, TN"	"47037"	785	109377	7.18
	"Hamilton County, TN"	"47065"	375	46398	8.08
	"Knox County, TN"	"47093"	336	57899	5.80
	"Rutherford County, TN"	"47149"	100	16119	6.20
	"Shelby County, TN"	"47157"	1607	154030	10.43
	"Unidentified Counties, TN"	"47999"	3528	515215	6.85
	"Bell County, TX"	"48027"	172	24844	6.92
	"Bexar County, TX"	"48029"	1825	297934	6.13
	"Brazoria County, TX"	"48039"	82	19159	4.28
	"Cameron County, TX"	"48061"	461	82486	5.59
	"Collin County, TX"	"48085"	533	118522	4.50
	"Dallas County, TX"	"48113"	3054	445438	6.86
	"Denton County, TX"	"48121"	485	105085	4.62
	"El Paso County, TX"	"48141"	666	149782	4.45
	"Fort Bend County, TX"	"48157"	428	94316	4.54
	"Galveston County, TX"	"48167"	235	44926	5.23
	"Harris County, TX"	"48201"	4638	771131	6.01
	"Hidalgo County, TX"	"48215"	859	177684	4.83
	"Jefferson County, TX"	"48245"	321	39255	8.18
	"Lubbock County, TX"	"48303"	71	16640	4.27
	"Montgomery County, TX"	"48339"	391	73833	5.30
	"Nueces County, TX"	"48355"	280	53486	5.24
	"Tarrant County, TX"	"48439"	2200	312274	7.05
	"Travis County, TX"	"48453"	833	176376	4.72
	"Webb County, TX"	"48479"	116	20910	5.55
	"Williamson County, TX"	"48491"	123	25858	4.76
	"Unidentified Counties, TX"	"48999"	7847	1282328	6.12
	"Davis County, UT"	"49011"	101	22842	4.42
	"Salt Lake County, UT"	"49035"	1073	199610	5.38
	"Utah County, UT"	"49049"	621	132275	4.69
	"Unidentified Counties, UT"	"49999"	1140	216808	5.26
	"Unidentified Counties, VT"	"50999"	310	66691	4.65
	"Chesterfield County, VA"	"51041"	246	41416	5.94
	"Fairfax County, VA"	"51059"	725	163216	4.44
	"Henrico County, VA"	"51087"	299	43741	6.84
	"Loudoun County, VA"	"51107"	73	20771	3.51
	"Prince William County, VA"	"51153"	413	74066	5.58
	"Virginia Beach city, VA"	"51810"	397	67769	5.86
	"Unidentified Counties, VA"	"51999"	5258	729918	7.20
	"Clark County, WA"	"53011"	280	61350	4.56
	"King County, WA"	"53033"	1101	276532	3.98
	"Kitsap County, WA"	"53035"	57	12251	4.65
	"Pierce County, WA"	"53053"	673	125192	5.38
	"Snohomish County, WA"	"53061"	445	104406	4.26
	"Spokane County, WA"	"53063"	341	65962	5.17
	"Thurston County, WA"	"53067"	53	12528	4.23
	"Unidentified Counties, WA"	"53999"	1613	313588	5.14
	"Unidentified Counties, WV"	"54999"	1633	225462	7.24
	"Dane County, WI"	"55025"	353	67348	5.24
	"Milwaukee County, WI"	"55079"	1376	157472	8.74
	"Waukesha County, WI"	"55133"	186	42428	4.38
	"Unidentified Counties, WI"	"55999"	2707	484673	5.59
	"Unidentified Counties, WY"	"56999"	498	83733	5.95
"Total"			271475	44300570	6.13
"---"
"Dataset: Linked Birth / Infant Death Records, 2007-2017"
"Query Parameters:"
"Group By: County"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/lbd.html for more information."
"---"
"Query Date: Nov 16, 2019 11:25:38 AM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers of Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics (DVS). Linked Birth / Infant Death Records"
"2007-2017, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program, on CDC WONDER On-line Database. Accessed at http://wonder.cdc.gov/lbd-current.html on Nov 16, 2019 11:25:38 AM"
"---"
Caveats:
"1. 'Unreliable' appears for rates when there are fewer than 20 deaths in the numerator. This is because the figure does not meet"
"the NCHS standard of reliability or precision. More information: http://wonder.cdc.gov/wonder/help/lbd.html#Unreliable."
"2. Infant deaths are weighted so numbers may not exactly add to totals due to rounding. More information:"
"http://wonder.cdc.gov/wonder/help/lbd.html#WeightFactors-Totals."
"3. Note that there may be slight differences in the number of infant deaths when comparing the Linked Birth / Death Records to"
"the other vital statistics. More information: http://wonder.cdc.gov/wonder/help/lbd.html#Weight Factors."
"4. County-level data are shown only for counties with populations of 250,000 persons or more. Data for all counties with fewer"
"than 250,000 persons within a state are combined together under the label ""Unidentified Counties."""
"5. Dade county, Florida (FIPS code 12025) was renamed Miami-Dade County (FIPS code 12086) effective November 13, 1997. The area"
"is coded to Miami-Dade (12086) after 2002 and Dade (12025) for earlier years in other linked-birth datasets."
"6. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore county (FIPS code 24005)."
"7. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis county (FIPS code 29189)."
"8. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"9. Kings county, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"10. New York county, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"11. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"12. Richmond county, New York (FIPS code 36085) represents Staten Island Borough, New York City."
"13. As a result of population changes the following counties do not have data available for all years.<br/> Before 2014 the data"
"for the following counties was recoded to the ""Unidentified Counties"" category within the state of the county because they did"
"not meet minimum population standards. Pinal County, AZ (04021); Marin County, CA (06041); Merced County, CA (06047); Placer"
"County, CA (06061); San Luis Obispo County, CA (06079); Douglas County, CO (08035); Weld County, CO (08123); Lake County, FL"
"(12069); Leon County, FL (12073); Osceola County, FL (12097); St. Lucie County, FL (12111); Chatham County, GA (13051); Clayton"
"County, GA (13063); Hamilton County, IN (18057); Howard County, MD (24027); Kalamazoo County, MI (26077); Ottawa County, MI"
"(26139); Greene County, MO (29077); Durham County, NC (37063); Cleveland County, OK (40027); Horry County, SC (45051); Lexington"
"County, SC (45063); Rutherford County, TN (47149); Bell County, TX (48027); Brazoria County, TX (48039); Lubbock County, TX"
"(48303); Webb County, TX (48479); Williamson County, TX (48491); Davis County, UT (49011); Loudoun County, VA (51107); Kitsap"
"County, WA (53035); Thurston County, WA (53067). <br/> After 2013 the data for the following counties was recoded to the"
"""Unidentified Counties"" category within the state of the county because they did not meet minimum population standards. Hinds"
"County, MS (28049); Mahoning County, OH (39099)."
