"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008057650","2","0","","3","XPIY0G ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008057656","2","0","","","2WWWI ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008057657","1","0","","","0IK ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008057729","3","0","","8","N0ME ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008057746","3","0","","7","T22NTI ","1990","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008057856","1","0","","6","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008058060","1","0","","2","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008058075","2","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008058214","1","0","","1","TM2239A ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008122571","1","0","","","JKZEH ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008123015","2","0","PA","7","PT06737 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008056741","1","0","MO","6","PT1788 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008056741","2","0","PA","6","PT2993E ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008056820","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008057112","2","0","PA","2","EPGW28 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008107371","2","0","","3","TF4970 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008107374","1","0","NJ","7","TI67FR ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008107653","1","0","","6","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008108332","2","0","CA","7","CQ83 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008108366","1","0","GQ","","H ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008108392","2","0","","","0IA ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008108460","2","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008108491","1","0","","6","TEXS9H ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008108631","2","0","GA","6","TL79026 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008108982","1","0","","","1 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008109356","2","0","IN","7","701972 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008109496","1","0","PA","7","PT4893L ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008109496","3","0","PA","7","XDA2423 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008110434","1","0","NJ","3","TEU71D ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008126874","1","0","ZZ","9","UNKNOWN ","2099","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008127391","2","0","PA","7","PT7047E ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008127399","3","0","PA","7","XM92323 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008127400","1","0","PA","7","XV19353 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008076958","2","0","ME","6","1173860 ","2011","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008076966","2","0","ME","6","0973791 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008078539","2","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008078912","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008079180","1","0","","1","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008079233","1","0","","1","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008079233","2","0","","1","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008079252","1","0","","","4 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008079387","2","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008063394","1","0","ME","7","0963885 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008063396","2","0","CA","7","DT02049 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008083212","2","0","","7","IISB09S ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008083641","2","0","ME","6","1211694 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008083790","1","0","NJ","7","TDU812 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008085096","1","0","NJ","7","T62Y4R ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008085098","2","0","TN","7","T200456 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008086821","1","0","PA","7","PT7678E ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008126354","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008072047","2","0","","3","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008072090","2","0","NJ","7","T-39-C2H ","9999","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008072533","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008072533","2","0","","8","GLJBS03 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008072616","2","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008072794","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
