"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008044651","1","1","1","0","99","99","01","0","99","U","0","0","","","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044651","3","5","1","0","00","00","01","0","39","M","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","1","1","1","0","99","99","01","0","26","M","0","0","","NJ","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","17","2","9","00","00","15","0","99","U","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","16","2","0","99","99","15","1","99","F","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","15","2","0","99","99","15","0","99","F","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","14","2","0","99","99","15","1","99","F","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","13","2","0","99","99","15","1","99","F","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","12","2","0","99","99","15","1","99","F","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","11","2","0","99","99","15","1","99","M","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","10","2","0","99","99","15","1","99","F","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","9","2","0","99","99","15","1","99","M","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","8","2","0","99","99","15","1","99","M","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","7","2","0","99","99","15","1","99","U","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","6","2","0","99","99","15","1","99","U","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","5","2","0","99","99","15","1","99","F","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","4","2","0","99","99","15","1","99","M","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
